['751', '930', '791', '22', '552', '578', '811']
['387', '128', '577', '493', '251', '444', '343']
['797', '902', '436', '441', '78', '306', '399']
['502', '511', '675', '859', '962', '491', '813']
['338', '815', '861', '575', '832', '623', '365']
['381', '774', '372', '196', '344', '369', '207']
['504', '259', '904', '732', '359', '593', '336']
['624', '80', '560', '588', '629', '685', '740']
['213', '706', '604', '914', '611', '205', '673']
['971', '759', '638', '567', '162', '305', '220']
['288', '466', '142', '29', '649', '648', '408']
['404', '420', '906', '650', '287', '243', '621']
['389', '701', '318', '323', '520', '480', '693']
['265', '109', '270', '713', '726', '3', '297']
['69', '59', '607', '742', '403', '405', '269']
['2', '396', '647', '371', '79', '794', '860']
['175', '874', '773', '926', '633', '762', '180']
['749', '766', '283', '106', '277', '678', '17']
['746', '285', '631', '5', '432', '954', '924']
['200', '804', '242', '772', '453', '169', '670']
['86', '120', '73', '822', '750', '208', '831']
['370', '852', '905', '406', '45', '703', '913']
['102', '507', '964', '21', '414', '814', '402']
['266', '729', '257', '661', '613', '47', '250']
['322', '705', '199', '635', '665', '686', '737']
['237', '284', '426', '856', '938', '522', '150']
['707', '743', '807', '321', '765', '625', '395']
['839', '761', '147', '379', '603', '490', '20']
['212', '922', '879', '851', '775', '4', '66']
['912', '919', '335', '770', '298', '65', '422']
['885', '786', '496', '0', '622', '449', '437']
['581', '435', '134', '587', '684', '360', '450']
['245', '961', '858', '99', '187', '579', '830']
['843', '463', '597', '34', '61', '226', '425']
['428', '197', '695', '49', '107', '154', '104']
['185', '472', '194', '289', '871', '292', '151']
['877', '244', '499', '215', '116', '605', '222']
['626', '787', '715', '758', '589', '195', '258']
['223', '920', '826', '415', '809', '595', '136']
['662', '509', '538', '551', '71', '676', '330']
['10', '873', '784', '418', '476', '385', '540']
['320', '173', '347', '837', '111', '234', '409']
['550', '617', '966', '827', '416', '842', '853']
['645', '898', '929', '534', '368', '857', '865']
['118', '910', '690', '263', '798', '598', '583']
['788', '616', '140', '143', '76', '573', '942']
['293', '485', '427', '768', '33', '64', '880']
['9', '519', '544', '382', '43', '159', '229']
['568', '252', '934', '487', '295', '6', '170']
['495', '23', '850', '316', '465', '541', '845']
['276', '812', '800', '477', '892', '641', '458']
['452', '77', '717', '366', '640', '956', '50']
['443', '805', '334', '279', '872', '887', '339']
['35', '890', '790', '349', '561', '840', '327']
['697', '94', '135', '679', '734', '515', '529']
['85', '201', '513', '206', '778', '15', '304']
['163', '7', '634', '806', '630', '719', '362']
['531', '264', '182', '498', '131', '682', '53']
['691', '332', '792', '467', '290', '888', '457']
['864', '939', '340', '947', '462', '781', '352']
['355', '643', '909', '838', '801', '855', '935']
['375', '696', '54', '506', '398', '280', '363']
['158', '500', '602', '730', '917', '795', '329']
['63', '571', '833', '273', '841', '614', '946']
['960', '121', '949', '248', '407', '145', '710']
['25', '714', '424', '1', '31', '97', '112']
['261', '849', '667', '42', '895', '268', '558']
['628', '464', '875', '594', '882', '896', '119']
['192', '189', '384', '460', '745', '735', '30']
['537', '397', '799', '501', '828', '937', '168']
['570', '152', '105', '576', '383', '400', '14']
['13', '188', '783', '656', '376', '870', '901']
['361', '210', '816', '468', '748', '155', '510']
['253', '721', '968', '709', '497', '108', '953']
['314', '225', '928', '716', '132', '669', '941']
['744', '11', '527', '878', '19', '483', '700']
['608', '44', '247', '184', '203', '303', '782']
['911', '867', '153', '524', '176', '564', '615']
['636', '632', '596', '256', '687', '24', '683']
['739', '559', '331', '218', '133', '836', '456']
['689', '521', '52', '230', '639', '546', '447']
['351', '227', '125', '254', '101', '255', '440']
['663', '83', '374', '547', '56', '267', '356']
['886', '674', '100', '753', '818', '769', '755']
['296', '358', '723', '526', '392', '204', '601']
['876', '646', '725', '897', '219', '117', '16']
['177', '793', '89', '72', '282', '337', '350']
['37', '438', '469', '584', '281', '401', '869']
['698', '566', '179', '217', '114', '137', '694']
['429', '868', '539', '91', '459', '36', '93']
['183', '313', '348', '907', '68', '87', '817']
['82', '862', '925', '240', '948', '728', '148']
['46', '653', '854', '916', '699', '606', '446']
['899', '81', '124', '260', '565', '543', '171']
['586', '27', '164', '386', '642', '98', '563']
['933', '972', '434', '309', '95', '848', '951']
['666', '659', '829', '619', '503', '122', '421']
['311', '12', '354', '767', '940', '357', '651']
['963', '198', '28', '915', '582', '555', '479']
['300', '373', '789', '688', '454', '149', '174']
['681', '315', '736', '965', '241', '505', '278']
['718', '271', '825', '927', '891', '181', '637']
['757', '680', '138', '492', '523', '731', '893']
['233', '236', '92', '423', '952', '232', '115']
['764', '518', '542', '671', '312', '113', '592']
['820', '84', '186', '417', '808', '754', '191']
['62', '430', '863', '110', '644', '780', '525']
