['993', '813', '606', '372', '258', '961', '320', '873', '200', '43', '877', '864', '520', '440', '676', '765', '830', '699', '594', '490']
['353', '24', '507', '843', '889', '279', '101', '605', '514', '74', '246', '461', '908', '711', '272', '447', '90', '354', '595', '964']
['129', '767', '978', '860', '680', '363', '929', '27', '274', '448', '85', '521', '706', '328', '800', '420', '819', '904', '826', '569']
['26', '374', '777', '410', '306', '934', '215', '366', '383', '483', '538', '557', '10', '329', '337', '1', '965', '230', '537', '829']
['721', '792', '659', '536', '257', '939', '773', '494', '234', '896', '428', '798', '260', '870', '664', '781', '553', '743', '911', '535']
['528', '278', '816', '158', '426', '324', '2', '487', '350', '49', '475', '925', '265', '45', '170', '441', '395', '203', '169', '958']
['882', '667', '552', '242', '98', '91', '346', '955', '542', '768', '391', '504', '292', '636', '511', '131', '782', '93', '124', '761']
['20', '311', '856', '728', '102', '618', '641', '565', '885', '959', '778', '588', '4', '40', '452', '679', '685', '267', '189', '173']
['863', '165', '240', '629', '466', '127', '317', '178', '574', '548', '134', '888', '670', '384', '609', '572', '408', '204', '333', '46']
['467', '759', '411', '951', '282', '41', '988', '941', '474', '662', '392', '626', '465', '433', '60', '442', '775', '709', '769', '6']
['900', '107', '791', '232', '186', '936', '923', '361', '892', '838', '273', '44', '597', '902', '524', '432', '283', '220', '984', '423']
['811', '113', '576', '209', '774', '732', '558', '526', '956', '668', '332', '783', '506', '421', '874', '73', '307', '436', '795', '477']
['581', '691', '453', '616', '482', '42', '290', '683', '8', '456', '88', '591', '608', '216', '878', '990', '145', '338', '38', '409']
['530', '404', '665', '280', '455', '86', '225', '493', '556', '182', '276', '625', '469', '677', '682', '373', '737', '55', '785', '948']
['919', '157', '739', '398', '222', '883', '118', '736', '517', '756', '635', '470', '365', '163', '473', '579', '322', '133', '61', '81']
['335', '905', '22', '742', '96', '954', '343', '390', '894', '753', '239', '67', '379', '723', '430', '906', '916', '977', '459', '755']
['967', '651', '788', '762', '851', '623', '693', '377', '449', '745', '718', '286', '502', '106', '703', '479', '369', '719', '314', '834']
['645', '697', '500', '835', '197', '784', '12', '326', '750', '414', '681', '167', '238', '912', '540', '944', '128', '796', '484', '105']
['823', '50', '143', '584', '805', '559', '779', '388', '301', '413', '164', '720', '857', '713', '214', '425', '852', '302', '83', '957']
['522', '600', '666', '58', '422', '66', '802', '387', '550', '19', '304', '821', '248', '917', '599', '622', '669', '757', '532', '786']
['549', '690', '194', '47', '52', '396', '963', '854', '573', '478', '310', '71', '263', '160', '940', '749', '402', '519', '733', '727']
['804', '705', '219', '152', '793', '952', '295', '915', '296', '836', '458', '652', '407', '110', '653', '692', '462', '63', '746', '531']
['938', '729', '547', '776', '78', '243', '351', '751', '237', '712', '661', '330', '879', '619', '397', '975', '568', '563', '831', '228']
['488', '17', '909', '64', '241', '880', '992', '913', '491', '897', '181', '424', '386', '303', '341', '481', '611', '845', '621', '355']
['357', '541', '394', '710', '381', '945', '787', '687', '155', '497', '525', '817', '172', '797', '922', '154', '610', '151', '583', '114']
['766', '631', '630', '340', '717', '820', '122', '159', '347', '375', '512', '305', '187', '334', '221', '264', '254', '227', '523', '342']
['191', '218', '444', '231', '985', '647', '866', '54', '564', '437', '996', '539', '111', '841', '859', '319', '125', '790', '312', '339']
['726', '561', '501', '674', '454', '223', '405', '844', '947', '356', '21', '695', '694', '686', '554', '174', '533', '575', '580', '991']
