['298', '236', '91', '543', '806']
['685', '380', '660', '89', '969']
['4', '553', '925', '279', '95']
['563', '874', '86', '827', '452']
['126', '473', '879', '732', '837']
['769', '794', '692', '455', '261']
['389', '29', '948', '599', '929']
['239', '84', '996', '819', '675']
['323', '438', '355', '65', '744']
['493', '423', '469', '349', '354']
['776', '809', '577', '784', '551']
['456', '224', '716', '679', '136']
['783', '711', '238', '322', '263']
['460', '188', '618', '788', '328']
['46', '100', '384', '241', '829']
['824', '849', '785', '651', '702']
['111', '93', '168', '742', '150']
['47', '884', '895', '424', '80']
['943', '177', '173', '799', '436']
['724', '135', '726', '332', '385']
['59', '397', '889', '130', '60']
['73', '1', '522', '766', '98']
['810', '961', '268', '208', '793']
['877', '516', '803', '712', '595']
['836', '272', '820', '975', '211']
['564', '154', '842', '965', '821']
['559', '219', '343', '905', '395']
['739', '610', '547', '278', '13']
['306', '656', '71', '505', '361']
['641', '466', '706', '118', '731']
['623', '673', '858', '983', '142']
['629', '582', '605', '72', '433']
['481', '644', '204', '321', '475']
['28', '954', '856', '350', '907']
['257', '558', '327', '734', '242']
['370', '245', '993', '408', '705']
['962', '341', '358', '109', '77']
['615', '628', '410', '545', '914']
['669', '878', '853', '454', '32']
['697', '825', '740', '415', '304']
['828', '860', '887', '194', '206']
['867', '945', '727', '494', '329']
['832', '627', '930', '613', '70']
['544', '778', '406', '549', '426']
['123', '892', '848', '442', '156']
['247', '470', '75', '33', '866']
['506', '366', '581', '572', '133']
['635', '805', '688', '520', '598']
['213', '588', '854', '41', '114']
['571', '880', '638', '782', '82']
['235', '715', '802', '144', '134']
['926', '364', '904', '861', '530']
['852', '648', '338', '115', '946']
['850', '112', '998', '230', '999']
['957', '626', '830', '952', '0']
['765', '695', '920', '446', '749']
['157', '708', '640', '540', '617']
['90', '947', '186', '106', '592']
['17', '916', '50', '764', '218']
['527', '311', '271', '851', '267']
['55', '800', '973', '334', '161']
['174', '37', '479', '909', '899']
['870', '750', '285', '767', '661']
['917', '308', '747', '882', '307']
['680', '249', '396', '166', '986']
['835', '677', '20', '931', '678']
['653', '997', '655', '966', '253']
['248', '508', '620', '942', '676']
['198', '636', '646', '164', '868']
['18', '87', '259', '839', '63']
['484', '295', '317', '668', '614']
['913', '796', '421', '735', '240']
['642', '960', '759', '443', '21']
['197', '977', '714', '562', '496']
['963', '297', '120', '296', '127']
['31', '663', '420', '491', '336']
['721', '526', '293', '299', '603']
['938', '584', '591', '22', '8']
['105', '325', '813', '478', '593']
['804', '908', '289', '631', '250']
['471', '467', '886', '795', '898']
['318', '704', '15', '113', '510']
['736', '390', '430', '791', '532']
['575', '104', '834', '185', '61']
['808', '160', '251', '872', '662']
['594', '857', '890', '203', '869']
['811', '940', '717', '169', '781']
['26', '699', '690', '531', '775']
['480', '569', '814', '535', '300']
['521', '933', '386', '391', '367']
['435', '223', '512', '437', '108']
['402', '590', '921', '39', '7']
['345', '758', '16', '277', '525']
['652', '428', '818', '412', '67']
['844', '36', '812', '492', '485']
['988', '752', '14', '138', '619']
['816', '210', '407', '167', '649']
['637', '573', '611', '352', '991']
['949', '495', '556', '165', '305']
['900', '116', '729', '774', '226']
['205', '550', '2', '616', '950']
['252', '388', '643', '243', '83']
['193', '689', '934', '159', '499']
['347', '393', '936', '145', '896']
['650', '276', '875', '125', '264']
['309', '429', '62', '374', '932']
['987', '381', '897', '971', '906']
['178', '922', '42', '394', '501']
['658', '284', '212', '843', '745']
['377', '757', '227', '274', '356']
['602', '231', '773', '524', '234']
['984', '939', '346', '891', '383']
['129', '770', '463', '713', '671']
['944', '903', '487', '81', '517']
['968', '425', '589', '451', '667']
['3', '647', '162', '927', '490']
['348', '838', '519', '733', '694']
['310', '557', '58', '432', '924']
['691', '199', '978', '902', '43']
['630', '148', '756', '681', '863']
['176', '755', '632', '215', '221']
['237', '417', '768', '119', '612']
['405', '313', '539', '158', '928']
['700', '152', '24', '538', '730']
['64', '779', '217', '326', '537']
['431', '797', '282', '449', '368']
['497', '51', '290', '746', '288']
['608', '534', '74', '102', '468']
['964', '19', '201', '163', '665']
['444', '183', '294', '918', '124']
['151', '489', '53', '486', '476']
['66', '801', '633', '209', '841']
['751', '566', '229', '132', '107']
['244', '579', '121', '189', '69']
['696', '373', '970', '312', '507']
['103', '270', '117', '254', '184']
['256', '912', '672', '335', '379']
['502', '586', '175', '980', '722']
['122', '339', '79', '260', '548']
['761', '561', '416', '622', '723']
['340', '269', '876', '956', '654']
['570', '743', '823', '331', '701']
['865', '919', '893', '68', '738']
['831', '514', '625', '881', '11']
['375', '546', '275', '725', '967']
['281', '817', '709', '192', '48']
['228', '401', '753', '888', '533']
['216', '754', '772', '574', '645']
['450', '720', '657', '255', '392']
['371', '528', '693', '179', '320']
['846', '576', '798', '360', '666']
['972', '762', '262', '982', '609']
['687', '187', '220', '703', '684']
['985', '518', '472', '483', '459']
['128', '303', '382', '280', '170']
['196', '49', '369', '78', '400']
['422', '195', '414', '5', '399']
['859', '509', '434', '365', '560']
['862', '419', '621', '923', '200']
['600', '698', '826', '718', '409']
['171', '139', '441', '885', '143']
['937', '915', '94', '418', '683']
['974', '398', '959', '555', '448']
['659', '265', '488', '780', '777']
['883', '822', '440', '981', '682']
['35', '951', '958', '552', '453']
['511', '670', '529', '910', '344']
['273', '27', '291', '333', '462']
['771', '786', '604', '314', '190']
['585', '222', '10', '351', '30']
['376', '596', '894', '54', '214']
['225', '664', '911', '901', '583']
['587', '845', '342', '760', '23']
['319', '232', '181', '542', '266']
