['444', '8', '15', '19', '21']
['497', '180', '202', '208', '228']
['402', '12', '35', '37', '40']
['494', '321', '327', '370', '371']
['331', '9', '11', '24', '29']
['417', '218', '252', '256', '271']
['212', '6', '10', '31', '56']
['463', '416', '428', '436', '476']
['23', '1', '18', '30', '32']
['492', '160', '224', '249', '257']
['191', '0', '2', '34', '42']
['496', '309', '324', '382', '388']
['422', '16', '46', '75', '100']
['481', '214', '238', '266', '337']
['258', '4', '5', '14', '33']
['445', '347', '404', '408', '423']
['483', '27', '28', '36', '43']
['464', '221', '243', '262', '263']
['406', '13', '39', '58', '65']
['339', '364', '375', '386', '391']
['213', '22', '38', '44', '53']
['300', '200', '235', '236', '242']
['361', '70', '81', '83', '94']
['400', '473', '456']
['498', '41', '48', '66', '67']
['403', '246', '253', '259', '276']
['151', '20', '54', '57', '61']
['457', '304', '323', '345', '376']
['153', '25', '50', '74', '77']
['446', '240', '261', '278', '283']
['401', '3', '60', '85', '86']
['479', '320', '421', '430', '467']
['486', '17', '49', '51', '72']
['459', '230', '237', '245', '248']
['302', '71', '90', '102', '109']
['396', '366', '377', '394', '414']
['144', '68', '80', '87', '88']
['291', '199', '274', '284', '289']
['363', '59', '63', '84', '106']
['410', '349', '477', '482', '465']
['299', '7', '64', '91', '92']
['461', '98', '198', '270', '272']
['177', '52', '76', '117', '119']
['387', '296', '326', '342', '355']
['472', '62', '73', '96', '112']
['448', '264', '282', '290', '305']
['169', '108', '113', '123', '129']
['452', '412', '415', '426', '429']
['145', '47', '93', '101', '128']
['222', '239', '275', '298', '314']
['393', '82', '99', '115', '127']
['365', '358', '378', '427', '455']
['480', '45', '95', '104', '120']
['468', '244', '285', '308', '319']
['267', '105', '136', '142', '162']
['397', '489', '458']
['206', '55', '114', '121', '125']
['313', '281', '303', '317', '322']
['431', '97', '107', '118', '134']
['490', '316', '384', '409', '413']
['493', '110', '116', '149', '159']
['346', '277', '279', '307', '310']
['336', '79', '132', '137', '138']
['432', '385', '442', '443', '460']
['255', '148', '158', '166', '216']
['440', '219', '227', '232', '292']
['318', '69', '124', '130', '135']
['372', '329', '359', '368', '373']
['295', '89', '131', '141', '147']
['424', '247', '250', '273', '293']
['478', '176', '190', '197', '204']
['471', '419', '439', '499', '462']
['485', '78', '103', '111', '146']
['399', '301', '330', '343', '353']
['280', '143', '172', '175', '184']
['487', '360', '380', '405', '407']
['350', '122', '155', '170', '174']
['286', '268', '306', '311', '335']
['454', '154', '165', '178', '179']
['395', '418', '434', '466', '495']
['201', '156', '164', '182', '186']
['383', '269', '333', '334', '340']
['332', '171', '193', '217', '229']
['484', '328', '351', '392', '420']
['357', '126', '133', '152', '210']
['441', '234', '294', '312', '341']
['288', '26', '140', '150', '194']
['437', '425', '469', '488']
['265', '167', '181', '185', '187']
['447', '251', '344', '348', '369']
['352', '207', '209', '226', '231']
['470', '374', '379', '381', '389']
['398', '168', '189', '215', '220']
['433', '260', '315', '325', '338']
['195', '161', '192', '203', '211']
['451', '390', '450', '475', '491']
['241', '163', '173', '183', '223']
['411', '297', '354', '356', '367']
['453', '188', '196', '233', '254']
['362', '435', '438', '449', '474']
['287', '139', '157', '205', '225']
