['388', '389', '306', '390']
['386', '378', '387', '384']
['109', '361', '110', '108']
['325', '324', '326', '328']
['291', '352', '154', '155']
['126', '267', '127', '125']
['383', '381', '380', '73']
['264', '265', '163', '266']
['259', '166', '258', '256']
['399', '396', '156', '398']
['89', '211', '209', '210']
['201', '212', '214', '213']
['327', '30', '29', '28']
['226', '235', '232', '233']
['69', '93', '39', '71']
['77', '97', '78', '79']
['179', '355', '178', '177']
['165', '106', '104', '105']
['221', '222', '248', '223']
['40', '230', '229', '228']
['13', '14', '12', '252']
['205', '48', '207', '204']
['351', '349', '348', '216']
['393', '395', '394', '168']
['150', '304', '187', '186']
['18', '17', '16', '107']
['278', '316', '279', '277']
['171', '169', '134', '170']
['347', '173', '174', '175']
['261', '260', '130', '263']
['188', '191', '190', '295']
['129', '343', '342', '341']
['86', '182', '87', '85']
['116', '117', '118', '144']
['374', '372', '274', '375']
['8', '185', '11', '9']
['333', '370', '332', '335']
['114', '192', '112', '237']
['287', '47', '285', '284']
['42', '41', '43', '111']
['27', '25', '296', '26']
['196', '312', '313', '315']
['271', '268', '220', '270']
['203', '331', '329', '330']
['124', '83', '231', '35']
['70', '299', '298', '297']
['100', '183', '180', '181']
['275', '242', '7', '76']
['68', '49', '50', '51']
['57', '340', '59', '56']
['206', '282', '281', '280']
['120', '123', '356', '122']
['113', '60', '61', '63']
['95', '359', '357', '94']
['202', '200', '195', '92']
['354', '6', '5', '4']
['53', '55', '317', '52']
['164', '215', '373', '62']
['219', '218', '189', '217']
['24', '368', '371', '369']
['286', '45', '283', '397']
['128', '131', '350', '58']
['167', '345', '344', '346']
['365', '366', '119', '367']
['239', '138', '136', '137']
['146', '145', '334', '147']
['336', '338', '84', '339']
['377', '376', '379', '241']
['115', '143', '142', '140']
['10', '1', '240', '243']
['81', '82', '80', '31']
['67', '66', '244', '64']
['250', '54', '249', '251']
['19', '303', '300', '301']
['199', '197', '198', '2']
['322', '320', '323', '358']
['289', '288', '141', '290']
['15', '224', '225', '227']
['353', '34', '32', '33']
['364', '135', '133', '132']
['160', '162', '161', '392']
['90', '382', '91', '88']
['293', '292', '294', '184']
['96', '98', '276', '99']
['273', '272', '337', '208']
['23', '262', '269', '21']
['149', '176', '151', '148']
['37', '36', '139', '38']
['253', '391', '254', '255']
['257', '72', '75', '74']
['385', '153', '318', '152']
['314', '310', '309', '308']
['102', '103', '321', '101']
['3', '158', '159', '0']
['238', '307', '236', '305']
['319', '362', '363', '360']
['44', '46', '22', '20']
['157', '246', '245', '247']
['65', '234', '194', '193']
['172', '302', '121', '311']
