['218', '14', '15', '32', '34', '47', '151', '158', '176', '178']
['475', '30', '177', '189', '269', '295', '356', '369', '408', '160']
['29', '46', '51', '78', '105', '169', '171', '182', '191', '214']
['100', '18', '77', '162', '314', '355', '372', '382', '402', '423']
['309', '22', '44', '49', '57', '65', '72', '86', '143', '145']
['357', '398', '435', '452', '465', '498', '195', '80', '425', '238']
['64', '38', '101', '120', '150', '201', '204', '224', '253', '270']
['125', '25', '156', '209', '260', '289', '330', '339', '412', '436']
['285', '13', '17', '60', '33', '67', '93', '106', '108', '110']
['10', '227', '313', '453', '459', '23', '265', '338', '466', '469']
['306', '39', '59', '85', '113', '119', '130', '134', '166', '222']
['68', '27', '118', '152', '216', '272', '447', '81', '247', '322']
['292', '20', '35', '37', '70', '88', '147', '164', '188', '203']
['454', '129', '139', '249', '254', '349', '380', '392', '406', '476']
['264', '5', '24', '97', '114', '168', '179', '207', '259', '294']
['430', '489', '205', '457', '478', '367', '481', '444', '230', '445']
['497', '7', '92', '107', '123', '146', '161', '221', '233', '263']
['90', '103', '142', '220', '282', '301', '318', '337', '378', '470']
['61', '4', '41', '62', '69', '126', '144', '194', '229', '262']
['350', '172', '413', '239', '236', '458', '461', '446', '376', '486']
['499', '6', '291', '116', '165', '212', '244', '258', '351', '433']
['390', '53', '154', '52', '245', '275', '278', '287', '304', '311']
['104', '11', '111', '127', '190', '234', '237', '246', '276', '323']
['155', '21', '136', '187', '460', '488', '418', '449', '19', '303']
['153', '48', '63', '75', '98', '159', '170', '200', '256', '280']
['56', '192', '250', '261', '284', '371', '411', '414', '438', '440']
['409', '16', '26', '74', '99', '135', '141', '183', '206', '226']
['443', '471', '474', '302', '55', '315', '492', '277', '364', '2']
['479', '149', '181', '235', '297', '329', '344', '348', '366', '370']
['473', '45', '163', '352', '266', '296', '319', '359', '363', '401']
['217', '223', '138', '197', '215', '333', '342', '365', '375', '388']
['482', '387', '429', '451', '416', '456', '464', '225', '379', '496']
['495', '9', '184', '202', '243', '255', '293', '320', '321', '336']
['50', '271', '346', '373', '377', '400', '415', '494', '175', '279']
['432', '83', '137', '228', '232', '268', '283', '286', '305', '310']
['131', '1', '42', '71', '112', '117', '248', '273', '391', '404']
['0', '54', '73', '96', '148', '173', '198', '199', '208', '327']
['360', '180', '381', '385', '467', '140', '393', '407', '487', '417']
['82', '3', '31', '76', '115', '219', '308', '374', '421', '437']
['167', '109', '128', '210', '274', '185', '396', '422', '439', '442']
['252', '28', '94', '241', '334', '335', '340', '384', '389', '394']
['468', '257', '290', '324', '354', '455', '463', '484', '485', '386']
['91', '186', '193', '240', '298', '326', '347', '353', '362', '368']
['493', '84', '267', '288', '331', '403', '420', '472', '491', '332']
['341', '79', '89', '95', '122', '157', '211', '231', '299', '312']
['448', '383', '410', '462', '477', '490', '419', '213', '431', '480']
['124', '102', '132', '281', '87', '307', '316', '325', '345', '361']
['66', '40', '121', '133', '251', '300', '397', '426', '434', '450']
['43', '12', '36', '58', '196', '317', '328', '343', '395', '424']
['242', '427', '483', '428', '174', '441', '8', '399', '358', '405']
