['125', '295', '291', '294', '296', '297', '298']
['167', '300', '299', '301', '180', '10', '11']
['60', '14', '9', '57', '61', '121', '122']
['260', '250', '326', '327', '235', '283', '173']
['335', '228', '225', '226', '227', '229', '230']
['127', '49', '47', '216', '27', '24', '164']
['63', '350', '344', '117', '119', '241', '239']
['107', '116', '115', '120', '96', '85', '149']
['276', '342', '324', '339', '69', '124', '123']
['113', '53', '51', '52', '64', '70', '54']
['94', '234', '233', '236', '238', '142', '146']
['98', '313', '309', '349', '208', '343', '337']
['72', '7', '74', '58', '45', '62', '277']
['289', '290', '292', '302', '321', '181', '278']
['56', '20', '15', '16', '17', '18', '19']
['340', '83', '81', '40', '182', '244', '150']
['219', '194', '190', '191', '192', '193', '195']
['36', '165', '178', '109', '66', '275', '274']
['75', '265', '261', '262', '263', '266', '279']
['307', '288', '303', '215', '71', '93', '78']
['6', '199', '189', '196', '197', '200', '204']
['188', '112', '4', '175', '110', '3', '341']
['323', '118', '293', '91', '89', '179', '168']
['46', '183', '108', '80', '84', '23', '203']
['319', '104', '90', '99', '76', '348', '267']
['187', '12', '13', '329', '338', '21', '26']
['334', '111', '1', '154', '152', '245', '312']
['232', '271', '268', '269', '273', '55', '59']
['79', '158', '155', '156', '157', '160', '161']
['223', '67', '130', '136', '284', '151', '214']
['264', '304', '305', '308', '88', '86', '87']
['287', '68', '147', '106', '207', '281', '145']
['25', '320', '44', '166', '162', '210', '306']
['30', '251', '213', '42', '159', '43', '347']
['50', '100', '202', '138', '345', '102', '246']
['317', '22', '8', '252', '2', '126', '259']
['82', '35', '29', '322', '103', '135', '328']
['231', '224', '220', '240', '272', '282', '237']
['174', '333', '330', '331', '332', '336', '247']
['163', '97', '95', '33', '314', '218', '315']
['28', '310', '198', '34', '222', '346', '243']
['325', '131', '133', '253', '172', '217', '77']
['205', '311', '139', '39', '48', '38', '65']
['128', '170', '169', '140', '177', '201', '73']
['114', '5', '32', '242', '143', '141', '209']
['206', '256', '254', '257', '258', '318', '176']
['212', '270', '41', '101', '171', '185', '280']
['92', '137', '134', '285', '286', '153', '31']
['129', '186', '184', '211', '249', '144', '132']
['148', '105', '248', '221', '255', '316', '37']
