['389', '229', '985', '706', '663', '276', '28', '102', '724', '298', '545', '885', '130', '599', '370', '485', '456', '237', '865', '899', '311', '571', '616', '172', '605', '792', '368', '183', '544', '156', '791', '509', '115', '188', '221', '18', '465', '603', '12', '958']
['294', '199', '506', '507', '526', '54', '767', '117', '224', '319', '519', '340', '426', '610', '943', '948', '959', '687', '715', '363', '126', '763', '154', '543', '466', '841', '223', '159', '977', '98', '257', '99', '828', '679', '464', '969', '34', '553', '211', '935']
['239', '231', '165', '31', '827', '313', '877', '235', '339', '535', '411', '723', '416', '170', '914', '953', '357', '383', '289', '107', '132', '732', '103', '207', '578', '794', '122', '500', '180', '884', '457', '777', '359', '123', '240', '297', '499', '452', '622', '811']
['472', '2', '944', '690', '366', '222', '46', '863', '826', '125', '742', '278', '782', '445', '323', '281', '392', '541', '174', '754', '40', '618', '591', '85', '640', '662', '573', '334', '802', '38', '698', '39', '488', '53', '946', '793', '565', '722', '120', '564']
['929', '137', '694', '549', '382', '702', '396', '70', '938', '83', '80', '367', '927', '263', '636', '972', '202', '648', '820', '78', '236', '443', '251', '733', '683', '494', '990', '741', '448', '816', '405', '14', '127', '160', '992', '904', '665', '391', '672', '293']
['848', '523', '280', '346', '870', '317', '551', '141', '242', '607', '192', '205', '752', '942', '414', '300', '432', '408', '908', '374', '193', '628', '7', '764', '454', '809', '529', '387', '433', '469', '116', '352', '522', '915', '76', '131', '399', '388', '304', '351']
['906', '372', '348', '365', '47', '533', '849', '852', '513', '355', '101', '801', '343', '66', '329', '72', '956', '234', '349', '290', '880', '534', '153', '435', '230', '341', '530', '857', '219', '806', '393', '952', '171', '592', '296', '184', '525', '517', '73', '630']
['689', '514', '286', '583', '71', '997', '555', '883', '309', '678', '676', '769', '711', '609', '35', '851', '249', '436', '20', '194', '709', '667', '926', '451', '407', '461', '24', '659', '901', '584', '233', '554', '404', '527', '730', '835', '36', '152', '163', '842']
['714', '595', '613', '84', '215', '693', '119', '910', '55', '585', '621', '669', '576', '62', '626', '376', '830', '905', '190', '608', '882', '283', '484', '813', '354', '823', '284', '17', '43', '635', '282', '891', '846', '45', '597', '788', '528', '737', '810', '998']
['804', '375', '301', '963', '185', '322', '818', '147', '664', '776', '655', '477', '697', '175', '151', '612', '412', '373', '681', '666', '589', '144', '61', '100', '421', '675', '947', '362', '594', '638', '744', '21', '441', '459', '814', '558', '86', '962', '838', '970']
['208', '206', '114', '11', '981', '508', '438', '203', '82', '328', '902', '850', '288', '945', '356', '333', '486', '26', '326', '458', '173', '652', '94', '641', '105', '568', '320', '920', '0', '834', '50', '759', '552', '803', '686', '121', '186', '87', '546', '455']
['539', '516', '966', '138', '869', '96', '470', '699', '761', '269', '772', '862', '867', '3', '637', '164', '651', '252', '778', '704', '817', '976', '342', '245', '8', '248', '598', '394', '30', '520', '955', '932', '713', '27', '268', '615', '350', '92', '492', '480']
['63', '957', '930', '916', '853', '878', '787', '538', '991', '74', '228', '819', '112', '928', '218', '25', '446', '247', '364', '758', '295', '19', '600', '111', '88', '563', '559', '918', '140', '422', '673', '95', '743', '832', '786', '59', '931', '471', '44', '325']
['562', '204', '277', '474', '489', '893', '586', '886', '677', '439', '753', '479', '682', '647', '748', '550', '358', '840', '381', '593', '569', '937', '700', '960', '703', '726', '765', '572', '428', '620', '502', '974', '668', '708', '384', '498', '575', '347', '728', '674']
['501', '720', '483', '232', '812', '601', '510', '999', '279', '762', '629', '557', '463', '335', '671', '37', '332', '9', '940', '460', '266', '133', '314', '650', '378', '548', '139', '719', '833', '566', '169', '23', '338', '872', '718', '161', '896', '988', '978', '406']
