['812', '362', '557', '543', '996', '623', '614', '995', '693', '688', '926', '871', '220', '920', '84', '950', '19', '589', '604', '540', '190', '521', '29', '6', '459', '739', '59', '4', '507', '101', '119', '120', '896', '743', '884', '393', '553', '232', '651', '365']
['572', '575', '63', '514', '110', '961', '764', '116', '778', '627', '953', '279', '492', '566', '723', '100', '547', '904', '756', '9', '636', '927', '784', '541', '886', '517', '280', '750', '801', '522', '925', '462', '315', '919', '855', '546', '937', '312', '410']
['716', '58', '905', '167', '924', '53', '869', '372', '753', '508', '191', '269', '708', '987', '559', '539', '630', '706', '313', '248', '309', '11', '484', '7', '106', '448', '24', '633', '28', '343', '334', '942', '316', '182', '624', '941', '292', '64', '809', '74']
['657', '385', '677', '225', '852', '590', '117', '692', '595', '601', '998', '270', '36', '645', '675', '859', '444', '510', '845', '788', '735', '399', '548', '606', '771', '215', '968', '644', '901', '669', '689', '238', '96', '427', '212', '599', '975', '73', '490', '895']
['696', '668', '903', '888', '226', '210', '948', '12', '516', '792', '931', '914', '767', '685', '520', '165', '704', '463', '710', '77', '370', '150', '153', '900', '92', '671', '840', '944', '867', '501', '782', '193', '374', '418', '752', '989', '296', '883', '449', '612']
['420', '622', '579', '567', '834', '237', '680', '600', '479', '873', '338', '991', '738', '222', '474', '264', '13', '196', '99', '637', '255', '691', '298', '986', '85', '431', '768', '56', '916', '321', '526', '802', '257', '328', '635', '275', '625', '102', '303', '241']
['757', '392', '789', '621', '332', '893', '140', '300', '147', '542', '308', '607', '192', '406', '748', '472', '978', '687', '917', '224', '654', '817', '213', '30', '588', '252', '369', '179', '495', '133', '60', '722', '984', '643', '433', '639', '205', '721', '379', '89']
['596', '774', '380', '878', '342', '556', '970', '690', '467', '960', '617', '51', '761', '512', '468', '770', '409', '506', '806', '577', '870', '751', '631', '199', '288', '323', '485', '763', '439', '724', '283', '582', '230', '712', '967', '469', '910', '629', '793', '923']
['454', '552', '114', '585', '398', '810', '483', '419', '766', '813', '37', '609', '287', '711', '430', '123', '181', '881', '744', '284', '276', '569', '125', '971', '882', '528', '794', '935', '803', '729', '930', '3', '956', '532', '207', '898', '244', '395', '218', '531']
['628', '173', '396', '537', '558', '908', '736', '200', '652', '382', '130', '426', '242', '464', '619', '345', '653', '384', '632', '829', '842', '993', '437', '945', '285', '976', '310', '714', '435', '163', '461', '824', '587', '549', '988', '145', '217', '441', '758', '347']
['335', '268', '83', '41', '831', '231', '349', '361', '836', '977', '50', '336', '482', '777', '400', '476', '185', '835', '907', '425', '578', '281', '10', '611', '184', '259', '983', '862', '544', '239', '317', '586', '843', '985', '108', '424', '674', '223', '445', '453']
['170', '779', '979', '386', '762', '161', '718', '121', '20', '854', '366', '955', '129', '648', '148', '894', '401', '455', '137', '78', '865', '183', '477', '906', '839', '861', '31', '390', '819', '535', '403', '646', '206', '818', '452', '203', '805', '261', '740', '759']
['202', '503', '876', '443', '194', '295', '124', '229', '363', '799', '974', '525', '524', '561', '497', '208', '780', '719', '890', '820', '594', '951', '701', '720', '76', '929', '277', '966', '166', '86', '353', '933', '407', '741', '417', '177', '946', '568', '656', '127']
['15', '57', '647', '807', '126', '488', '155', '509', '436', '686', '874', '502', '415', '913', '518', '388', '489', '849', '169', '581', '187', '214', '851', '591', '82', '892', '219', '573', '383', '496', '377', '846', '909', '260', '368', '533', '491', '450', '466', '922']
['357', '367', '875', '825', '118', '749', '772', '850', '603', '872', '640', '783', '939', '197', '297', '45', '697', '115', '324', '178', '164', '570', '446', '233', '62', '705', '337', '132', '90', '663', '151', '97', '272', '731', '253', '266', '389', '42', '8', '320']
['23', '826', '880', '273', '2', '659', '394', '442', '747', '866', '499', '700', '91', '943', '868', '350', '249', '227', '676', '38', '35', '138', '331', '458', '994', '618', '34', '856', '128', '938', '932', '429', '26', '790', '432', '555', '816', '515', '848', '256']
['250', '160', '88', '447', '773', '172', '157', '32', '136', '481', '327', '804', '340', '1', '797', '891', '451', '551', '902', '695', '990', '262', '823', '822', '638', '563', '356', '709', '422', '505', '87', '278', '22', '915', '821', '498', '103', '180', '478', '605']
['504', '947', '732', '354', '583', '348', '359', '201', '168', '494', '641', '576', '665', '660', '351', '141', '608', '411', '186', '306', '681', '584', '613', '885', '678', '511', '423', '934', '982', '216', '661', '71', '304', '61', '954', '513', '428', '811', '480', '319']
['234', '105', '962', '139', '574', '815', '271', '122', '95', '52', '111', '43', '897', '694', '857', '957', '364', '109', '291', '679', '980', '93', '333', '571', '25', '899', '864', '785', '421', '135', '69', '973', '726', '162', '664', '301', '240', '142', '529', '564']
['414', '673', '666', '352', '538', '560', '760', '175', '246', '473', '940', '282', '918', '580', '634', '98', '534', '174', '769', '972', '66', '236', '642', '80', '703', '456', '325', '877', '267', '355', '964', '104', '963', '746', '47', '318', '391', '314', '475', '728']
['171', '434', '615', '737', '131', '81', '460', '965', '536', '156', '727', '18', '626', '667', '402', '493', '598', '808', '289', '775', '416', '152', '54', '290', '997', '550', '346', '730', '949', '371', '146', '527', '158', '853', '144', '828', '745', '195', '67', '358']
['658', '715', '198', '776', '519', '46', '742', '952', '928', '14', '305', '863', '258', '245', '79', '44', '107', '341', '72', '412', '602', '376', '113', '5', '176', '610', '330', '322', '649', '70', '814', '487', '838', '329', '670', '48', '211', '413', '440', '684']
['438', '49', '798', '0', '786', '698', '33', '189', '887', '655', '650', '860', '787', '302', '221', '682', '717', '254', '959', '592', '847', '523', '992', '765', '827', '286', '404', '969', '699', '112', '311', '251', '457', '470', '159', '620', '68', '833', '781', '243']
['734', '405', '879', '294', '75', '791', '373', '360', '755', '844', '465', '889', '55', '662', '921', '381', '299', '94', '40', '858', '293', '344', '27', '263', '796', '143', '16', '593', '265', '837', '228', '597', '841', '733', '235', '911', '981', '800', '387', '134']
['204', '565', '936', '247', '408', '683', '188', '530', '378', '65', '375', '832', '672', '707', '562', '795', '397', '154', '326', '958', '17', '545', '616', '274', '912', '500', '486', '21', '830', '702', '713', '725', '149', '39', '471', '554', '209', '754', '307', '339']
