['658', '373', '43', '418', '581', '67']
['554', '556', '225', '516', '20', '7']
['264', '629', '86', '333', '2', '647']
['134', '612', '431', '65', '623', '222']
['334', '346', '409', '576', '580', '475']
['608', '81', '646', '520', '309', '27']
['243', '286', '411', '265', '605', '206']
['10', '306', '372', '398', '427', '111']
['361', '526', '709', '671', '589', '141']
['529', '47', '308', '703', '120', '271']
['438', '9', '392', '640', '350', '677']
['75', '674', '366', '542', '136', '719']
['185', '1', '128', '155', '386', '627']
['615', '365', '685', '161', '690', '351']
['711', '288', '312', '132', '133', '298']
['114', '41', '679', '231', '362', '238']
['130', '167', '681', '335', '187', '180']
['34', '537', '149', '503', '189', '459']
['616', '653', '371', '359', '532', '11']
['245', '208', '215', '357', '716', '72']
['360', '58', '609', '233', '204', '344']
['699', '52', '434', '661', '217', '127']
['38', '614', '40', '302', '270', '530']
['557', '110', '584', '272', '126', '514']
['240', '30', '505', '553', '19', '619']
['590', '48', '695', '482', '269', '544']
['533', '51', '301', '108', '445', '201']
['430', '447', '458', '14', '303', '214']
['250', '523', '85', '382', '593', '224']
['61', '435', '284', '46', '437', '404']
['297', '391', '528', '414', '59', '718']
['595', '241', '275', '213', '604', '423']
['54', '49', '700', '488', '119', '415']
['53', '534', '257', '289', '193', '8']
['113', '42', '485', '513', '18', '69']
['591', '702', '630', '73', '339', '531']
['328', '202', '251', '586', '172', '0']
['83', '400', '587', '164', '192', '229']
['603', '62', '496', '406', '579', '258']
['322', '138', '307', '385', '480', '511']
['450', '444', '223', '393', '326', '327']
['205', '634', '35', '311', '168', '325']
['688', '572', '502', '594', '613', '510']
['273', '123', '199', '395', '261', '538']
['179', '436', '490', '401', '600', '471']
['228', '701', '622', '637', '255', '441']
['122', '236', '292', '561', '380', '495']
['704', '448', '549', '13', '354', '341']
['320', '276', '499', '101', '483', '94']
['660', '274', '412', '636', '165', '84']
['15', '117', '87', '239', '102', '672']
['592', '295', '197', '638', '635', '606']
['564', '676', '518', '12', '384', '479']
['234', '410', '712', '196', '620', '28']
['331', '26', '278', '74', '230', '525']
['583', '696', '617', '656', '314', '551']
['183', '477', '577', '452', '643', '291']
['177', '457', '25', '428', '198', '463']
['313', '153', '585', '539', '296', '188']
['517', '143', '178', '159', '191', '56']
['492', '293', '246', '506', '683', '650']
['500', '578', '569', '416', '267', '348']
['454', '105', '394', '682', '90', '32']
['247', '186', '244', '78', '383', '390']
['103', '63', '560', '330', '402', '456']
['116', '522', '460', '210', '508', '443']
['540', '601', '347', '691', '324', '36']
['644', '203', '260', '376', '666', '148']
['527', '618', '664', '95', '285', '659']
['76', '277', '219', '216', '158', '21']
['378', '624', '476', '364', '370', '574']
['698', '403', '70', '200', '256', '220']
['686', '221', '226', '31', '318', '684']
['254', '501', '588', '429', '597', '424']
['598', '137', '563', '37', '665', '498']
['657', '152', '642', '610', '478', '352']
['171', '694', '493', '156', '23', '484']
['218', '129', '92', '509', '675', '524']
['343', '154', '559', '98', '388', '491']
['547', '668', '242', '710', '232', '626']
['607', '317', '625', '486', '144', '300']
['207', '150', '654', '342', '16', '469']
['115', '425', '651', '249', '131', '397']
['641', '363', '467', '473', '377', '100']
['259', '345', '321', '596', '121', '413']
['562', '139', '552', '329', '714', '680']
['340', '645', '468', '195', '89', '367']
['546', '248', '519', '182', '166', '536']
['91', '104', '667', '628', '670', '79']
['358', '64', '611', '602', '162', '631']
['399', '319', '283', '252', '88', '706']
['146', '96', '281', '5', '112', '176']
['80', '379', '535', '396', '633', '66']
['17', '355', '209', '190', '304', '715']
['157', '68', '163', '118', '515', '280']
['464', '374', '125', '582', '545', '175']
['60', '338', '405', '705', '106', '652']
['93', '567', '389', '368', '693', '268']
['632', '173', '669', '708', '655', '262']
['369', '558', '678', '639', '489', '315']
['237', '570', '568', '462', '294', '451']
['417', '349', '507', '170', '433', '407']
['466', '621', '263', '57', '140', '109']
['29', '316', '566', '504', '426', '470']
['689', '99', '82', '235', '253', '4']
['45', '446', '124', '77', '266', '472']
['474', '494', '39', '71', '521', '181']
['3', '353', '145', '332', '481', '184']
['440', '375', '381', '449', '212', '662']
['420', '408', '151', '599', '323', '174']
['649', '461', '421', '290', '673', '497']
['571', '692', '287', '227', '336', '465']
['337', '432', '6', '707', '55', '453']
['194', '512', '543', '455', '97', '575']
['33', '282', '299', '147', '22', '160']
['279', '713', '310', '24', '305', '541']
['439', '356', '687', '648', '697', '565']
['169', '107', '442', '211', '422', '548']
['44', '387', '573', '717', '550', '50']
['142', '135', '419', '487', '555', '663']
