['189', '159', '544', '382', '519', '43', '229']
['500', '955', '246', '932', '307', '412', '863']
['417', '380', '156', '846', '569', '231', '542']
['781', '667', '558', '42', '769', '100', '753']
['969', '439', '599', '958', '211', '378', '959']
['570', '724', '8', '797', '18', '103', '796']
['902', '182', '131', '53', '498', '682', '271']
['892', '109', '270', '713', '726', '3', '297']
['381', '935', '411', '157', '528', '390', '835']
['336', '67', '499', '116', '605', '222', '215']
['926', '745', '460', '735', '237', '375', '693']
['702', '907', '313', '87', '348', '68', '351']
['220', '903', '572', '747', '266', '129', '83']
['654', '197', '695', '107', '154', '291', '104']
['552', '808', '102', '84', '586', '186', '677']
['792', '319', '864', '894', '308', '620', '183']
['508', '866', '165', '885', '233', '900', '557']
['423', '349', '960', '790', '840', '561', '489']
['776', '706', '604', '322', '355', '914', '205']
['616', '494', '177', '645', '12', '354', '389']
['57', '176', '153', '524', '867', '564', '581']
['611', '576', '845', '175', '239', '105', '541']
['967', '683', '596', '256', '687', '410', '601']
['178', '871', '194', '289', '495', '472', '292']
['764', '207', '144', '921', '535', '213', '155']
['440', '265', '52', '230', '639', '521', '546']
['158', '373', '789', '688', '886', '454', '149']
['85', '4', '879', '851', '922', '775', '66']
['422', '578', '757', '791', '22', '811', '930']
['579', '970', '10', '543', '260', '171', '413']
['86', '918', '738', '393', '41', '771', '844']
['384', '756', '784', '418', '476', '385', '139']
['720', '874', '773', '633', '762', '180', '663']
['484', '142', '408', '469', '648', '328', '448']
['953', '640', '717', '75', '366', '121', '50']
['540', '358', '723', '526', '392', '204', '216']
['621', '368', '929', '534', '857', '865', '488']
['807', '388', '193', '711', '55', '341', '802']
['752', '295', '487', '657', '6', '934', '170']
['400', '301', '708', '876', '760', '394', '151']
['44', '882', '875', '253', '119', '896', '464']
['28', '748', '304', '816', '210', '468', '136']
['910', '602', '342', '467', '827', '842', '617']
['585', '312', '300', '671', '532', '325', '299']
['901', '950', '512', '452', '32', '391', '275']
['462', '293', '804', '242', '772', '453', '169']
['853', '281', '29', '869', '401', '810', '884']
['664', '432', '631', '957', '924', '954', '285']
['370', '661', '62', '257', '613', '729', '250']
['565', '685', '560', '80', '588', '629', '404']
['437', '387', '909', '838', '801', '855', '652']
['890', '479', '915', '582', '555', '235', '834']
['517', '243', '429', '420', '650', '287', '818']
['516', '972', '434', '309', '95', '848', '951']
['21', '330', '340', '947', '939', '825', '352']
['591', '262', '164', '739', '963', '27', '642']
['628', '705', '199', '276', '665', '686', '737']
['860', '218', '583', '559', '598', '626', '133']
['184', '191', '98', '563', '819', '353', '754']
['331', '931', '1', '31', '97', '112', '714']
['732', '675', '511', '491', '859', '813']
['868', '444', '577', '493', '251', '128', '118']
['365', '673', '690', '746', '798', '263', '65']
['445', '196', '372', '478', '369', '344', '774']
['635', '691', '51', '821', '126', '96', '127']
['670', '888', '966', '290', '899', '666', '833']
['238', '618', '556', '698', '847', '326', '294']
['327', '456', '725', '428', '219', '897', '117']
['63', '590', '147', '603', '761', '490', '379']
['895', '425', '597', '34', '226', '421', '805']
['367', '296', '228', '823', '803', '545', '451']
['241', '641', '812', '477', '800', '455', '755']
['470', '359', '904', '593', '357', '259', '163']
['435', '240', '862', '148', '925', '948', '728']
['906', '345', '26', '777', '658', '741', '442']
['669', '398', '54', '506', '363', '446', '696']
['17', '783', '245', '656', '870', '35', '945']
['364', '302', '883', '574', '214', '475', '608']
['324', '742', '607', '59', '403', '694', '405']
['510', '111', '837', '234', '173', '409', '48']
