['21', '602', '362', '29', '821', '809', '771', '578', '237', '179', '214', '388', '722', '661', '267', '323', '211', '540', '644', '151', '216', '403', '111', '767', '234', '207', '695', '660', '376', '209', '344']
['718', '247', '333', '295', '437', '478', '621', '531', '401', '262', '259', '740', '647', '189', '829', '652', '796', '630', '204', '625', '689', '790', '120', '499', '241', '121', '570', '520', '238', '440', '773']
['306', '679', '903', '715', '11', '775', '930', '720', '606', '356', '491', '137', '128', '387', '300', '856', '414', '784', '705', '153', '511', '310', '17', '99', '171', '502', '951', '62', '53', '340', '161']
['109', '373', '126', '79', '386', '530', '395', '764', '95', '196', '666', '814', '330', '897', '463', '580', '281', '591', '4', '375', '716', '779', '332', '299', '474', '355', '619', '452', '753', '699', '185']
['731', '628', '85', '146', '468', '943', '41', '304', '358', '860', '723', '44', '791', '441', '32', '165', '249', '155', '132', '324', '772', '671', '110', '552', '200', '854', '941', '194', '893', '917', '493']
['25', '402', '801', '116', '641', '258', '10', '360', '462', '631', '527', '318', '678', '57', '348', '389', '412', '878', '673', '521', '397', '820', '42', '582', '830', '243', '840', '426', '697', '60', '418']
['956', '517', '506', '842', '36', '174', '454', '379', '706', '230', '172', '560', '290', '58', '289', '248', '587', '477', '445', '584', '957', '38', '727', '532', '614', '807', '94', '782', '317', '947', '880']
['390', '197', '726', '286', '429', '693', '187', '252', '940', '176', '902', '891', '114', '526', '882', '576', '799', '827', '729', '471', '20', '260', '658', '307', '457', '363', '497', '881', '566', '908', '221']
['369', '487', '813', '154', '793', '754', '751', '577', '296', '760', '886', '529', '364', '733', '592', '446', '870', '572', '519', '423', '624', '353', '382', '894', '489', '708', '144', '180', '345', '745', '150']
['130', '611', '669', '748', '142', '656', '812', '82', '231', '676', '933', '938', '279', '91', '352', '514', '242', '77', '761', '896', '431', '9', '496', '859', '507', '875', '393', '884', '598', '439', '939']
['516', '201', '834', '717', '61', '65', '268', '98', '613', '847', '643', '518', '528', '928', '839', '861', '581', '585', '910', '887', '222', '27', '709', '149', '105', '106', '88', '670', '309', '135', '96']
['265', '380', '885', '841', '605', '123', '139', '215', '662', '510', '615', '351', '378', '738', '280', '573', '253', '617', '186', '365', '959', '714', '18', '159', '311', '513', '39', '559', '167', '467', '425']
['157', '107', '479', '707', '359', '823', '593', '873', '797', '597', '503', '832', '370', '470', '245', '523', '284', '108', '442', '202', '824', '549', '759', '684', '64', '690', '915', '802', '141', '862', '404']
['500', '906', '6', '806', '868', '35', '31', '604', '756', '494', '271', '960', '555', '319', '54', '777', '261', '67', '168', '924', '776', '52', '466', '341', '895', '636', '826', '805', '668', '26', '539']
['490', '935', '301', '786', '749', '8', '337', '781', '15', '263', '744', '612', '914', '327', '81', '588', '622', '762', '272', '181', '119', '66', '346', '568', '569', '485', '845', '567', '302', '595', '460']
['639', '869', '206', '420', '752', '846', '546', '90', '411', '898', '561', '305', '148', '256', '97', '84', '453', '855', '251', '778', '458', '482', '844', '817', '638', '848', '649', '246', '667', '810', '421']
['384', '51', '406', '335', '599', '14', '195', '694', '160', '551', '438', '501', '907', '223', '250', '298', '134', '163', '635', '913', '533', '680', '13', '553', '664', '953', '920', '904', '43', '948', '232']
['831', '274', '50', '338', '275', '677', '377', '712', '2', '288', '768', '765', '538', '136', '556', '792', '876', '818', '934', '757', '535', '269', '901', '75', '843', '654', '579', '872', '522', '416', '100']
['326', '283', '758', '328', '665', '837', '147', '698', '125', '858', '954', '877', '405', '803', '434', '774', '642', '849', '349', '853', '164', '400', '101', '282', '342', '838', '925', '734', '12', '392', '162']
['537', '213', '465', '871', '48', '419', '701', '325', '746', '950', '916', '836', '343', '292', '169', '603', '562', '313', '372', '357', '574', '889', '297', '794', '203', '368', '191', '683', '417', '548', '645']
['942', '367', '433', '808', '711', '536', '104', '217', '919', '653', '874', '688', '407', '37', '724', '74', '158', '852', '589', '492', '239', '651', '83', '240', '864', '674', '601', '450', '509', '23', '557']
['199', '828', '504', '257', '316', '448', '236', '541', '391', '244', '524', '71', '800', '547', '704', '681', '24', '303', '835', '543', '564', '40', '361', '459', '719', '710', '19', '596', '273', '190', '484']
['70', '747', '686', '381', '739', '127', '22', '816', '117', '347', '113', '949', '175', '266', '512', '461', '616', '227', '648', '498', '63', '133', '909', '620', '285', '732', '921', '55', '650', '72', '937']
['850', '451', '646', '312', '3', '483', '444', '182', '320', '600', '140', '629', '958', '728', '936', '655', '49', '173', '455', '783', '92', '115', '473', '184', '46', '47', '432', '905', '383', '857', '742']
['851', '944', '637', '945', '322', '131', '73', '822', '86', '205', '124', '415', '427', '34', '226', '730', '228', '138', '563', '56', '721', '534', '955', '912', '633', '435', '287', '866', '565', '795', '45']
['334', '946', '177', '554', '276', '336', '770', '264', '785', '672', '725', '737', '682', '112', '424', '103', '354', '900', '170', '865', '410', '183', '219', '594', '657', '28', '76', '118', '741', '750', '932']
['30', '798', '544', '89', '788', '789', '212', '610', '447', '515', '863', '663', '696', '927', '735', '294', '235', '16', '608', '314', '59', '398', '220', '449', '371', '780', '929', '225', '193', '755', '102']
['443', '277', '586', '713', '923', '685', '396', '315', '394', '464', '122', '883', '178', '607', '385', '156', '505', '769', '7', '743', '481', '408', '899', '632', '571', '278', '550', '1', '208', '508', '0']
['399', '218', '692', '922', '819', '422', '804', '308', '198', '152', '892', '815', '702', '480', '188', '374', '166', '255', '145', '736', '787', '93', '192', '931', '627', '78', '634', '918', '879', '525', '700']
['430', '456', '558', '233', '703', '618', '926', '210', '331', '350', '254', '623', '675', '590', '867', '583', '825', '640', '80', '469', '129', '691', '68', '321', '687', '366', '609', '833', '659', '33', '409']
['545', '952', '626', '911', '888', '143', '476', '291', '69', '575', '339', '486', '329', '293', '763', '229', '811', '224', '542', '436', '766', '270', '413', '890', '87', '472', '488', '475', '5', '428', '495']
