['703', '284', '516', '749', '375', '618', '752', '430', '352', '447', '413', '393', '194', '637', '643', '3', '49', '501', '334', '245', '107', '126', '577', '774', '326', '450', '169', '381', '258', '69', '146', '385']
['645', '716', '396', '484', '565', '713', '123', '578', '279', '119', '442', '603', '90', '505', '346', '691', '544', '742', '641', '504', '486', '298', '418', '493', '685', '456', '61', '793', '621', '626', '571', '211']
['232', '648', '537', '729', '601', '60', '237', '193', '67', '414', '400', '405', '183', '368', '252', '526', '88', '433', '244', '327', '797', '125', '682', '302', '712', '224', '656', '8', '143', '583', '130', '620']
['727', '12', '452', '631', '53', '374', '325', '799', '356', '677', '551', '453', '714', '573', '391', '576', '567', '4', '409', '166', '539', '84', '24', '737', '180', '222', '487', '372', '751', '349', '547', '596']
['39', '402', '624', '432', '469', '582', '741', '441', '532', '609', '353', '619', '785', '289', '44', '721', '135', '696', '575', '101', '178', '743', '144', '448', '593', '207', '228', '415', '328', '466', '629', '268']
['502', '137', '28', '719', '155', '157', '735', '644', '14', '595', '382', '794', '181', '378', '373', '464', '306', '510', '451', '340', '27', '580', '74', '171', '41', '15', '6', '380', '440', '666', '408', '417']
['255', '354', '654', '480', '226', '309', '653', '37', '138', '161', '524', '757', '129', '463', '642', '26', '272', '390', '223', '427', '175', '230', '235', '701', '120', '655', '383', '357', '795', '767', '552', '38']
['43', '388', '495', '113', '478', '796', '633', '627', '51', '401', '283', '740', '499', '261', '689', '548', '151', '436', '355', '766', '399', '647', '40', '256', '318', '310', '160', '216', '523', '615', '251', '412']
['780', '708', '507', '167', '521', '285', '426', '320', '555', '305', '371', '96', '431', '387', '231', '461', '185', '662', '199', '333', '508', '500', '695', '201', '97', '314', '638', '588', '475', '768', '116', '48']
['718', '239', '176', '75', '613', '496', '384', '9', '275', '7', '646', '362', '292', '765', '787', '301', '236', '462', '173', '511', '80', '782', '670', '140', '370', '497', '614', '726', '65', '78', '172', '112']
['20', '606', '732', '100', '602', '29', '728', '406', '693', '590', '564', '443', '295', '341', '300', '506', '68', '317', '724', '781', '434', '538', '34', '699', '429', '45', '164', '553', '229', '158', '348', '581']
['240', '397', '319', '299', '281', '190', '775', '296', '676', '315', '628', '304', '287', '360', '351', '122', '159', '324', '665', '31', '23', '594', '592', '404', '1', '416', '153', '419', '394', '599', '420', '632']
['563', '16', '734', '330', '92', '313', '227', '520', '673', '76', '723', '686', '91', '293', '219', '657', '636', '710', '339', '249', '243', '174', '59', '195', '332', '489', '528', '786', '421', '205', '772', '503']
['770', '423', '711', '54', '546', '515', '266', '170', '208', '133', '650', '62', '94', '566', '13', '106', '58', '358', '179', '260', '688', '622', '683', '678', '705', '267', '73', '530', '560', '294', '323', '95']
['485', '750', '52', '779', '458', '605', '17', '668', '494', '386', '142', '197', '449', '345', '269', '512', '342', '253', '459', '424', '22', '460', '694', '438', '322', '79', '241', '118', '472', '254', '492', '134']
['411', '238', '570', '321', '651', '87', '366', '514', '625', '470', '525', '361', '109', '652', '773', '671', '337', '681', '42', '437', '2', '10', '690', '282', '308', '218', '771', '468', '162', '536', '165', '316']
['274', '422', '483', '209', '55', '104', '377', '277', '225', '141', '248', '110', '674', '608', '103', '105', '262', '519', '522', '692', '347', '518', '798', '491', '776', '549', '395', '389', '745', '70', '579', '30']
['147', '33', '584', '188', '759', '139', '257', '66', '307', '474', '684', '435', '47', '336', '273', '0', '278', '18', '543', '574', '738', '659', '556', '89', '527', '344', '276', '722', '154', '21', '291', '562']
['152', '11', '617', '762', '533', '398', '297', '611', '369', '182', '587', '439', '131', '640', '569', '612', '753', '761', '445', '250', '288', '156', '343', '672', '490', '331', '136', '212', '744', '367', '558', '46']
['63', '210', '446', '607', '600', '82', '589', '72', '730', '379', '85', '303', '312', '19', '679', '99', '376', '706', '186', '214', '150', '540', '639', '755', '264', '149', '778', '220', '635', '529', '233', '77']
['203', '213', '117', '57', '760', '585', '572', '350', '457', '597', '733', '481', '664', '707', '704', '634', '467', '145', '756', '93', '709', '476', '114', '121', '792', '64', '598', '111', '217', '763', '215', '586']
['108', '700', '359', '329', '715', '725', '791', '124', '265', '790', '410', '192', '550', '444', '769', '698', '764', '541', '364', '736', '271', '561', '746', '132', '557', '784', '513', '196', '25', '542', '783', '200']
['616', '177', '204', '658', '127', '311', '163', '280', '81', '148', '697', '559', '35', '425', '675', '263', '473', '455', '477', '335', '535', '488', '660', '168', '534', '184', '428', '246', '247', '482', '748', '32']
['661', '479', '128', '554', '465', '286', '270', '454', '71', '739', '83', '365', '591', '115', '667', '363', '5', '788', '623', '221', '630', '290', '680', '509', '545', '202', '649', '663', '86', '747', '189', '731']
['56', '36', '531', '720', '242', '259', '234', '777', '198', '754', '610', '102', '498', '392', '604', '407', '717', '687', '758', '568', '206', '403', '789', '338', '669', '50', '702', '187', '517', '471', '98', '191']
