['346', '304', '713']
['947', '422', '604']
['856', '620', '845']
['57', '428', '894']
['788', '301', '688']
['687', '225', '708']
['523', '310', '473']
['771', '70', '168']
['733', '99', '432']
['482', '521', '116']
['76', '627', '325']
['607', '939', '328']
['488', '426', '705']
['692', '218', '585']
['226', '192', '530']
['646', '160', '96']
['534', '584', '343']
['281', '958', '429']
['278', '311', '741']
['600', '85', '69']
['970', '779', '272']
['835', '453', '557']
['827', '3', '45']
['264', '316', '679']
['588', '917', '961']
['466', '439', '768']
['131', '609', '50']
['367', '890', '440']
['504', '868', '124']
['470', '207', '465']
['77', '680', '810']
['173', '51', '35']
['390', '570', '591']
['830', '101', '350']
['738', '716', '879']
['764', '120', '379']
['675', '649', '608']
['354', '106', '412']
['589', '132', '702']
['815', '916', '759']
['38', '184', '684']
['942', '133', '581']
['104', '568', '640']
['375', '209', '202']
['222', '677', '417']
['967', '98', '339']
['598', '44', '891']
['128', '651', '513']
['907', '200', '119']
['689', '445', '746']
['878', '175', '831']
['899', '92', '854']
['753', '29', '10']
['613', '247', '900']
['969', '629', '889']
['478', '678', '199']
['911', '522', '366']
['233', '956', '715']
['86', '659', '718']
['84', '829', '320']
['235', '18', '162']
['170', '300', '636']
['561', '880', '647']
['373', '91', '307']
['734', '837', '452']
['46', '628', '959']
['618', '778', '564']
['766', '605', '387']
['669', '986', '883']
['701', '982', '37']
['615', '152', '931']
['342', '365', '59']
['73', '259', '590']
['8', '472', '792']
['303', '442', '397']
['553', '682', '90']
['528', '28', '229']
['250', '113', '614']
['979', '451', '497']
['405', '518', '324']
['463', '460', '711']
['487', '273', '493']
['153', '725', '903']
['448', '392', '461']
['990', '777', '246']
['48', '315', '555']
['444', '266', '818']
['822', '108', '40']
['686', '861', '476']
['926', '415', '860']
['137', '685', '492']
['509', '394', '946']
['283', '943', '67']
['929', '849', '839']
['695', '673', '219']
['872', '380', '0']
['510', '414', '597']
['910', '639', '270']
['663', '665', '157']
['261', '974', '24']
['599', '867', '382']
['548', '262', '223']
['479', '374', '772']
['416', '410', '87']
['556', '457', '282']
['993', '201', '195']
['814', '172', '642']
['811', '446', '474']
['723', '206', '433']
['999', '519', '699']
['285', '349', '150']
['164', '185', '895']
['912', '156', '710']
['850', '63', '691']
['542', '284', '126']
['186', '670', '863']
['355', '799', '780']
['391', '624', '587']
['362', '641', '957']
['782', '483', '203']
['825', '579', '763']
['655', '902', '877']
['244', '933', '972']
['187', '977', '545']
['575', '459', '836']
['537', '36', '100']
['214', '13', '420']
['698', '21', '198']
['351', '727', '847']
['748', '313', '72']
['169', '573', '424']
['109', '386', '31']
['49', '526', '812']
['33', '826', '938']
['436', '852', '441']
['864', '617', '843']
['291', '775', '984']
['353', '165', '14']
['884', '127', '529']
['892', '348', '805']
['800', '953', '148']
['913', '176', '122']
['707', '971', '62']
['594', '693', '757']
['550', '498', '286']
['53', '319', '671']
['385', '143', '413']
['645', '341', '747']
['948', '732', '750']
['828', '842', '919']
['566', '421', '558']
['191', '592', '706']
['334', '865', '183']
['475', '790', '744']
['619', '784', '602']
['237', '520', '171']
['193', '166', '770']
['56', '622', '724']
['232', '142', '123']
['690', '601', '81']
['318', '43', '840']
['177', '407', '287']
['80', '377', '357']
['409', '174', '110']
['121', '905', '855']
['398', '832', '565']
['781', '736', '88']
['888', '389', '507']
['975', '7', '182']
['12', '190', '758']
['794', '290', '918']
['486', '54', '740']
['41', '147', '505']
['572', '823', '611']
['25', '672', '211']
['580', '371', '42']
['697', '700', '248']
['178', '449', '652']
['464', '236', '114']
['660', '212', '595']
['656', '381', '789']
['197', '944', '254']
['139', '500', '866']
['593', '915', '950']
['93', '299', '769']
['988', '418', '774']
['625', '447', '434']
['882', '6', '676']
['951', '508', '952']
['292', '819', '543']
['494', '230', '361']
['720', '578', '754']
['240', '358', '129']
['875', '135', '797']
['524', '495', '425']
['220', '305', '801']
['795', '515', '60']
['662', '643', '621']
['989', '551', '765']
['893', '762', '167']
['363', '881', '485']
['274', '344', '503']
['980', '721', '955']
['55', '462', '657']
['347', '19', '75']
['941', '968', '735']
['920', '502', '138']
['739', '249', '499']
['785', '786', '583']
['813', '612', '851']
['876', '251', '238']
['906', '848', '821']
['525', '576', '337']
['252', '985', '253']
['134', '904', '563']
['277', '586', '924']
['898', '896', '399']
['767', '242', '552']
['484', '107', '871']
['538', '161', '146']
['807', '395', '338']
['838', '30', '562']
['401', '726', '221']
['962', '477', '323']
['914', '144', '749']
['798', '39', '634']
['332', '243', '294']
['547', '626', '480']
['666', '79', '559']
['549', '991', '808']
['258', '783', '443']
