['367', '632', '696', '454', '903', '137', '560', '886', '285', '639', '329', '573', '10', '464', '854', '478', '223', '405', '294', '510']
['362', '200', '194', '47', '526', '845', '388', '558', '690', '413', '418', '967', '611', '635', '399', '31', '370', '810', '812', '262']
['873', '230', '654', '198', '738', '869', '562', '847', '998', '857', '72', '858', '449', '320', '482', '609', '801', '700', '748', '745']
['452', '734', '588', '54', '814', '95', '907', '657', '926', '601', '89', '321', '679', '564', '865', '40', '173', '145', '437', '624']
['658', '344', '891', '296', '48', '457', '244', '871', '661', '335', '615', '962', '163', '174', '549', '352', '663', '213', '532', '35']
['746', '929', '900', '921', '403', '680', '274', '393', '957', '63', '594', '385', '27', '795', '990', '56', '758', '179', '363', '771']
['828', '504', '691', '735', '391', '720', '29', '467', '837', '292', '598', '164', '970', '406', '817', '525', '820', '842', '118', '892']
['295', '749', '436', '217', '23', '142', '162', '666', '466', '915', '375', '850', '293', '159', '317', '307', '952', '920', '347', '515']
['177', '68', '481', '959', '209', '649', '303', '576', '597', '384', '84', '537', '113', '602', '387', '782', '522', '341', '273', '965']
['982', '122', '130', '815', '617', '718', '286', '979', '490', '678', '256', '739', '331', '1', '100', '619', '794', '752', '206', '94']
['372', '851', '270', '298', '637', '401', '713', '813', '402', '491', '770', '913', '520', '212', '606', '519', '762', '65', '877', '918']
['368', '651', '83', '534', '43', '844', '772', '530', '622', '264', '788', '334', '221', '808', '271', '161', '358', '121', '7', '495']
['333', '612', '716', '147', '80', '566', '328', '706', '129', '974', '997', '20', '763', '554', '834', '453', '827', '625', '443', '204']
['98', '946', '811', '508', '940', '448', '242', '85', '9', '524', '660', '506', '521', '703', '928', '421', '590', '346', '143', '902']
['591', '33', '458', '671', '876', '415', '342', '291', '235', '586', '222', '608', '719', '88', '14', '901', '314', '261', '253', '757']
['357', '34', '474', '662', '947', '578', '674', '665', '941', '621', '774', '656', '203', '555', '451', '355', '195', '441', '754', '404']
['861', '383', '948', '785', '587', '498', '744', '59', '868', '932', '19', '322', '233', '563', '144', '483', '596', '366', '909', '821']
['535', '432', '460', '684', '219', '382', '71', '37', '310', '419', '833', '702', '343', '283', '705', '263', '0', '93', '766', '446']
['544', '473', '442', '805', '956', '579', '167', '60', '305', '550', '779', '484', '796', '105', '512', '802', '761', '559', '775', '633']
['30', '583', '301', '943', '567', '32', '46', '966', '832', '268', '626', '114', '188', '503', '360', '825', '132', '513', '247', '853']
['731', '816', '790', '438', '234', '315', '878', '760', '108', '18', '191', '324', '426', '698', '993', '124', '695', '138', '776', '216']
['856', '848', '728', '571', '669', '881', '311', '386', '799', '985', '646', '875', '302', '553', '655', '149', '572', '181', '863', '424']
['648', '332', '79', '251', '668', '318', '42', '859', '4', '232', '783', '325', '201', '249', '99', '45', '3', '91', '170', '681']
['485', '110', '636', '575', '488', '158', '548', '955', '337', '131', '348', '127', '991', '849', '407', '278', '210', '533', '707', '349']
['870', '712', '981', '781', '141', '133', '287', '936', '11', '180', '409', '643', '715', '186', '804', '855', '664', '841', '395', '182']
['107', '471', '786', '456', '672', '299', '740', '354', '276', '644', '469', '904', '683', '207', '986', '964', '791', '595', '8', '826']
['830', '880', '992', '259', '730', '778', '699', '497', '155', '930', '423', '895', '688', '542', '39', '245', '241', '673', '687', '645']
['604', '499', '36', '675', '236', '546', '803', '916', '327', '968', '642', '397', '977', '953', '260', '747', '476', '987', '494', '829']
['605', '989', '369', '975', '440', '954', '765', '682', '279', '568', '87', '647', '677', '676', '96', '694', '21', '101', '479', '531']
['297', '280', '430', '789', '450', '896', '721', '589', '146', '906', '459', '433', '610', '171', '465', '980', '971', '577', '864', '57']
['153', '427', '543', '944', '580', '228', '725', '693', '751', '486', '128', '160', '229', '540', '398', '623', '592', '377', '157', '912']
['603', '689', '905', '627', '25', '911', '885', '704', '836', '840', '462', '742', '22', '496', '652', '104', '570', '240', '252', '724']
['148', '254', '190', '67', '685', '894', '227', '156', '480', '376', '175', '13', '860', '717', '390', '214', '62', '753', '267', '852']
['898', '511', '439', '942', '711', '82', '872', '784', '112', '319', '431', '197', '923', '392', '26', '862', '461', '417', '882', '492']
['732', '255', '741', '767', '103', '994', '978', '338', '49', '697', '38', '73', '925', '630', '371', '6', '500', '874', '475', '835']
['238', '41', '306', '988', '282', '931', '867', '389', '289', '935', '193', '897', '634', '743', '934', '139', '582', '468', '502', '215']
