['296', '604', '507', '786', '405']
['600', '651', '785', '849', '431']
['924', '885', '456', '473', '399']
['622', '12', '847', '974', '155']
['581', '97', '500', '864', '567']
['579', '895', '424', '884', '126']
['787', '84', '831', '331', '627']
['148', '277', '666', '91', '525']
['33', '653', '165', '45', '83']
['42', '609', '704', '662', '767']
['727', '74', '910', '562', '534']
['531', '873', '25', '292', '521']
['611', '972', '430', '196', '128']
['76', '541', '337', '958', '363']
['224', '322', '263', '828', '206']
['293', '741', '914', '655', '451']
['912', '138', '752', '300', '990']
['723', '295', '317', '264', '738']
['561', '168', '418', '460', '93']
['124', '129', '732', '171', '681']
['597', '674', '740', '228', '583']
['800', '546', '725', '967', '602']
['733', '671', '891', '535', '615']
['186', '282', '14', '342', '64']
['649', '176', '904', '892', '705']
['79', '56', '472', '459', '518']
['975', '396', '47', '249', '779']
['375', '94', '594', '563', '915']
['178', '896', '909', '906', '558']
['246', '693', '350', '380', '660']
['944', '445', '379', '894', '444']
['717', '982', '59', '757', '670']
['182', '552', '37', '479', '450']
['946', '376', '219', '220', '187']
['316', '154', '965', '821', '523']
['612', '747', '882', '260', '354']
['841', '524', '773', '231', '234']
['680', '984', '99', '268', '848']
['699', '796', '421', '720', '306']
['943', '695', '920', '446', '585']
['714', '117', '254', '270', '803']
['842', '737', '437', '236', '16']
['566', '227', '721', '820', '809']
['88', '632', '772', '755', '658']
['794', '357', '370', '844', '341']
['781', '871', '690', '172', '813']
['71', '329', '468', '494', '281']
['931', '679', '715', '5', '347']
['879', '576', '798', '360', '498']
['214', '288', '388', '686', '345']
['756', '365', '744', '826', '829']
['877', '195', '414', '509', '513']
['90', '814', '997', '284', '18']
['763', '492', '485', '918', '60']
['678', '199', '978', '711', '438']
['833', '825', '537', '29', '948']
['333', '131', '327', '656', '505']
['321', '897', '55', '20', '771']
['792', '239', '440', '832', '950']
['952', '92', '43', '645', '667']
['104', '107', '190', '428', '471']
['429', '959', '702', '876', '530']
['793', '209', '801', '709', '961']
['805', '606', '156', '932', '134']
['863', '391', '712', '170', '386']
['30', '367', '204', '461', '687']
['634', '970', '514', '373', '289']
['404', '481', '698', '668', '846']
['359', '400', '605', '497', '748']
['279', '957', '387', '310', '364']
['684', '407', '824', '8', '466']
['22', '900', '426', '70', '550']
['262', '866', '616', '769', '774']
['703', '719', '935', '334', '210']
['933', '512', '385', '875', '226']
['644', '874', '157', '366', '905']
['188', '398', '362', '797', '565']
['478', '853', '881', '517', '151']
['251', '628', '410', '840', '995']
['536', '36', '406', '163', '201']
['880', '528', '313', '158', '963']
['338', '344', '343', '641', '250']
['477', '956', '269', '140', '731']
['98', '532', '791', '116', '729']
['889', '815', '102', '394', '247']
['390', '618', '770', '463', '225']
['184', '716', '26', '423', '750']
['240', '527', '857', '584', '861']
['764', '457', '802', '595', '516']
['991', '575', '452', '39', '181']
['434', '625', '315', '901', '215']
['778', '480', '244', '233', '378']
['878', '838', '297', '120', '790']
['633', '591', '301', '272', '167']
['377', '465', '593', '119', '393']
['511', '799', '818', '67', '436']
['638', '694', '746', '834', '185']
['775', '397', '669', '749', '325']
['608', '303', '922', '197', '371']
['545', '291', '968', '493', '759']
['556', '147', '538', '949', '913']
['510', '783', '574', '62', '402']
['113', '808', '601', '439', '413']
['624', '620', '676', '548', '980']
['4', '314', '309', '69', '189']
['237', '886', '467', '403', '683']
['526', '409', '449', '420', '229']
['542', '927', '955', '323', '392']
['238', '125', '659', '855', '46']
['647', '488', '780', '252', '265']
['123', '557', '24', '152', '320']
['222', '425', '754', '739', '51']
['543', '248', '544', '916', '50']
['298', '307', '490', '132', '888']
['697', '495', '160', '202', '61']
['751', '192', '519', '63', '253']
['617', '865', '852', '689', '858']
['275', '415', '389', '395', '977']
['384', '898', '795', '806', '464']
['381', '893', '610', '58', '164']
['951', '607', '257', '664', '529']
['554', '161', '939', '788', '735']
['592', '87', '205', '765', '475']
['966', '441', '596', '302', '139']
['203', '994', '7', '835', '504']
['54', '194', '887', '860', '630']
['11', '862', '118', '198', '869']
['753', '969', '89', '985', '672']
['412', '72', '324', '433', '582']
['843', '369', '49', '845', '986']
['470', '274', '356', '235', '145']
['635', '294', '212', '183', '996']
['964', '35', '273', '149', '286']
['839', '374', '285', '742', '208']
['503', '340', '242', '734', '368']
['283', '110', '319', '945', '573']
['259', '696', '760', '930', '677']
['133', '580', '476', '332', '570']
['48', '919', '692', '836', '954']
['830', '411', '28', '353', '173']
['241', '328', '713', '640', '53']
['80', '648', '115', '569', '85']
['665', '267', '851', '502', '112']
['305', '422', '427', '890', '816']
['726', '903', '487', '782', '114']
['682', '180', '626', '278', '13']
['908', '598', '688', '520', '708']
['68', '489', '66', '258', '153']
['940', '993', '245', '408', '590']
['646', '352', '947', '619', '962']
['560', '652', '867', '304', '200']
