['438', '128', '848', '197', '520', '165', '851', '293', '886', '698']
['380', '560', '964', '348', '222', '442', '129', '375', '983', '57']
['869', '876', '390', '539', '586', '779', '441', '18', '145', '147']
['960', '136', '882', '774', '734', '473', '137', '320', '659', '669']
['821', '299', '77', '460', '899', '455', '683', '485', '499', '855']
['907', '132', '82', '678', '632', '954', '725', '417', '653', '705']
['643', '493', '75', '64', '622', '668', '545', '23', '578', '807']
['814', '856', '536', '421', '895', '758', '642', '140', '798', '181']
['480', '783', '620', '599', '917', '247', '826', '39', '475', '482']
['601', '828', '631', '437', '864', '670', '6', '706', '274', '768']
['944', '726', '742', '20', '215', '937', '636', '286', '396', '304']
['285', '207', '239', '13', '988', '16', '55', '24', '687', '227']
['217', '97', '903', '124', '35', '416', '168', '1', '173', '250']
['164', '56', '431', '283', '737', '71', '214', '517', '655', '914']
['40', '501', '780', '923', '875', '751', '579', '538', '172', '604']
['775', '243', '794', '570', '913', '44', '255', '606', '984', '187']
['749', '920', '202', '994', '732', '306', '618', '858', '498', '660']
['130', '769', '301', '999', '924', '268', '413', '411', '792', '934']
['521', '699', '63', '279', '484', '637', '249', '834', '325', '486']
['626', '422', '339', '974', '585', '733', '755', '571', '657', '414']
['871', '822', '81', '311', '529', '728', '204', '447', '391', '587']
['218', '922', '116', '675', '338', '980', '51', '240', '645', '406']
['92', '46', '474', '307', '490', '42', '87', '358', '265', '489']
['652', '246', '263', '970', '943', '277', '881', '388', '549', '859']
['861', '511', '171', '901', '226', '813', '593', '962', '143', '86']
['853', '120', '89', '839', '180', '318', '870', '43', '784', '544']
['185', '584', '542', '790', '759', '553', '616', '911', '590', '85']
['993', '796', '253', '213', '96', '844', '906', '811', '32', '278']
['747', '519', '816', '727', '123', '566', '910', '966', '948', '329']
['351', '850', '15', '741', '827', '874', '767', '159', '183', '541']
['312', '224', '332', '556', '902', '707', '157', '509', '99', '67']
['394', '600', '481', '548', '409', '504', '26', '30', '697', '677']
['589', '523', '836', '102', '528', '818', '992', '346', '613', '506']
['9', '559', '163', '945', '259', '104', '532', '564', '371', '685']
['547', '916', '908', '111', '366', '889', '985', '565', '408', '17']
['526', '10', '387', '45', '297', '661', '591', '535', '623', '436']
['282', '644', '714', '466', '266', '344', '158', '248', '50', '603']
['308', '576', '138', '251', '452', '275', '101', '461', '80', '310']
['832', '108', '534', '765', '234', '142', '739', '573', '628', '806']
['605', '196', '203', '305', '345', '323', '316', '73', '125', '647']
['646', '405', '819', '619', '334', '919', '464', '610', '941', '114']
['940', '84', '156', '66', '288', '681', '337', '638', '335', '887']
['110', '650', '598', '752', '188', '300', '688', '383', '374', '975']
['79', '938', '122', '149', '328', '546', '862', '209', '754', '963']
['893', '540', '415', '367', '967', '19', '229', '379', '738', '280']
['595', '654', '448', '658', '639', '126', '888', '373', '78', '245']
['257', '969', '497', '141', '106', '761', '852', '166', '429', '146']
['800', '370', '412', '476', '717', '753', '200', '262', '340', '189']
['700', '483', '491', '791', '933', '195', '201', '83', '179', '407']
['633', '434', '356', '998', '562', '804', '760', '552', '651', '838']
['837', '492', '686', '113', '880', '561', '151', '894', '432', '298']
['557', '443', '588', '656', '883', '495', '935', '703', '343', '327']
['915', '929', '170', '568', '494', '7', '567', '231', '219', '692']
['795', '435', '673', '326', '744', '236', '629', '842', '468', '496']
['531', '384', '537', '860', '264', '315', '242', '144', '991', '352']
['841', '996', '672', '48', '607', '368', '866', '679', '342', '27']
['445', '762', '503', '469', '833', '60', '513', '909', '825', '465']
['403', '885', '997', '428', '912', '693', '291', '341', '868', '575']
['574', '36', '372', '322', '21', '805', '956', '577', '502', '94']
['211', '241', '397', '121', '787', '95', '508', '634', '205', '221']
