['259', '83', '212', '257', '254', '52', '251', '249', '92', '293']
['2', '104', '347', '248', '311', '175', '53', '119', '46', '156']
['344', '255', '346', '390', '331', '107', '147', '326', '368', '139']
['118', '263', '144', '40', '136', '138', '226', '131', '307', '67']
['276', '277', '66', '246', '72', '99', '207', '100', '74', '61']
['47', '268', '272', '394', '314', '266', '285', '89', '313', '20']
['231', '258', '184', '18', '236', '63', '150', '233', '253', '250']
['59', '51', '50', '57', '135', '324', '290', '54', '204', '318']
['94', '315', '36', '128', '91', '134', '329', '229', '68', '93']
['174', '195', '270', '238', '192', '95', '271', '352', '256', '273']
['309', '301', '306', '303', '146', '218', '164', '49', '299', '222']
['292', '320', '327', '113', '321', '359', '385', '73', '355', '16']
['30', '39', '98', '339', '240', '44', '108', '197', '106', '101']
['232', '279', '8', '15', '201', '365', '349', '173', '179', '37']
['264', '62', '380', '262', '267', '165', '209', '261', '362', '56']
['64', '386', '122', '200', '160', '153', '187', '97', '381', '247']
['22', '58', '78', '244', '26', '82', '163', '71', '25', '166']
['378', '376', '203', '325', '168', '245', '161', '328', '162', '133']
['295', '228', '35', '105', '169', '34', '289', '296', '291', '172']
['159', '388', '10', '375', '341', '70', '32', '96', '300', '384']
['322', '278', '308', '310', '392', '140', '1', '319', '379', '4']
['69', '117', '269', '298', '370', '41', '75', '330', '45', '43']
['142', '38', '19', '88', '230', '234', '364', '145', '389', '141']
['357', '85', '112', '76', '149', '358', '27', '351', '353', '186']
['210', '29', '55', '340', '158', '323', '335', '9', '297', '151']
['13', '183', '42', '12', '181', '237', '180', '87', '360', '354']
['215', '294', '23', '190', '338', '211', '193', '189', '167', '383']
['6', '282', '286', '109', '280', '115', '284', '208', '281', '205']
['24', '33', '127', '120', '121', '125', '126', '312', '124', '123']
['171', '305', '176', '288', '287', '177', '316', '80', '137', '369']
['342', '178', '350', '170', '14', '11', '387', '196', '21']
['84', '132', '283', '356', '130', '17', '81', '3', '317', '336']
['274', '343', '241', '345', '155', '243', '48', '65', '219', '28']
['302', '31', '304', '337', '206', '242', '217', '199', '90', '367']
['111', '395', '157', '202', '372', '333', '5', '114', '110', '116']
['373', '86', '235', '79', '371', '224', '102', '148', '252', '374']
['60', '185', '7', '366', '154', '223', '361', '143', '363', '396']
['194', '213', '275', '214', '334', '188', '191', '198', '332', '377']
['397', '129', '391', '348', '260', '398', '265', '393', '103', '399']
['227', '221', '220', '382', '225', '77', '152', '182', '239', '216']
