['a247', 'a410', 'a235', 'a356', 'a349', 'a25', 'a135', 'a359', 'a294', 'a415', 'a409', 'a138']
['a195', 'a36', 'a445', 'a108', 'a416', 'a475', 'a422', 'a455', 'a371', 'a382', 'a330', 'a392']
['a375', 'a336', 'a220', 'a118', 'a154', 'a345', 'a122', 'a19', 'a80', 'a207', 'a98', 'a69']
['a443', 'a209', 'a419', 'a24', 'a241', 'a451', 'a179', 'a277', 'a164', 'a224', 'a442', 'a387']
['a340', 'a97', 'a104', 'a133', 'a3', 'a254', 'a257', 'a444', 'a42', 'a284', 'a201', 'a46']
['a265', 'a199', 'a52', 'a152', 'a206', 'a40', 'a465', 'a259', 'a302', 'a143', 'a165', 'a62']
['a399', 'a423', 'a256', 'a447', 'a344', 'a474', 'a35', 'a295', 'a376', 'a305', 'a94', 'a384']
['a275', 'a342', 'a278', 'a296', 'a374', 'a110', 'a123', 'a462', 'a79', 'a174', 'a60', 'a15']
['a426', 'a331', 'a288', 'a473', 'a351', 'a425', 'a264', 'a93', 'a248', 'a238', 'a4', 'a244']
['a309', 'a17', 'a234', 'a298', 'a290', 'a325', 'a148', 'a167', 'a76', 'a303', 'a437', 'a269']
['a192', 'a183', 'a323', 'a327', 'a225', 'a158', 'a337', 'a358', 'a1', 'a210', 'a398', 'a420']
['a202', 'a111', 'a361', 'a125', 'a391', 'a32', 'a357', 'a61', 'a395', 'a137', 'a132', 'a436']
['a29', 'a328', 'a320', 'a53', 'a347', 'a314', 'a128', 'a312', 'a184', 'a252', 'a402', 'a450']
['a368', 'a141', 'a172', 'a377', 'a74', 'a146', 'a16', 'a322', 'a304', 'a412', 'a417', 'a383']
['a266', 'a245', 'a193', 'a385', 'a439', 'a341', 'a30', 'a300', 'a332', 'a149', 'a403', 'a306']
['a219', 'a365', 'a222', 'a285', 'a221', 'a249', 'a200', 'a255', 'a334', 'a203', 'a27', 'a68']
['a370', 'a115', 'a72', 'a457', 'a237', 'a38', 'a204', 'a313', 'a380', 'a223', 'a139', 'a84']
['a170', 'a101', 'a276', 'a317', 'a394', 'a85', 'a396', 'a18', 'a208', 'a163', 'a70', 'a355']
['a311', 'a260', 'a226', 'a55', 'a406', 'a352', 'a472', 'a427', 'a191', 'a315', 'a373', 'a31']
['a292', 'a271', 'a471', 'a177', 'a438', 'a217', 'a263', 'a229', 'a441', 'a258', 'a21', 'a354']
['a348', 'a120', 'a267', 'a12', 'a308', 'a452', 'a478', 'a58', 'a273', 'a435', 'a103', 'a159']
['a470', 'a453', 'a182', 'a242', 'a421', 'a413', 'a44', 'a353', 'a9', 'a67', 'a460', 'a119']
['a20', 'a272', 'a173', 'a389', 'a448', 'a362', 'a463', 'a318', 'a107', 'a187', 'a454', 'a477']
['a88', 'a49', 'a151', 'a228', 'a301', 'a116', 'a106', 'a293', 'a14', 'a236', 'a178', 'a218']
['a440', 'a59', 'a126', 'a466', 'a87', 'a205', 'a26', 'a71', 'a289', 'a171', 'a227', 'a51']
['a124', 'a39', 'a310', 'a82', 'a321', 'a131', 'a434', 'a378', 'a109', 'a343', 'a468', 'a279']
['a22', 'a194', 'a197', 'a232', 'a346', 'a211', 'a90', 'a476', 'a282', 'a136', 'a411', 'a96']
['a464', 'a43', 'a78', 'a390', 'a175', 'a33', 'a66', 'a397', 'a458', 'a414', 'a105', 'a456']
['a369', 'a393', 'a144', 'a34', 'a261', 'a333', 'a381', 'a48', 'a64', 'a142', 'a47', 'a270']
['a130', 'a81', 'a280', 'a350', 'a360', 'a147', 'a10', 'a326', 'a338', 'a367', 'a95', 'a461']
['a121', 'a129', 'a480', 'a250', 'a153', 'a431', 'a329', 'a157', 'a291', 'a316', 'a13', 'a180']
['a388', 'a112', 'a379', 'a28', 'a429', 'a65', 'a86', 'a404', 'a50', 'a251', 'a433', 'a243']
['a8', 'a268', 'a140', 'a432', 'a57', 'a283', 'a100', 'a469', 'a408', 'a405', 'a185', 'a181']
['a262', 'a299', 'a6', 'a281', 'a233', 'a274', 'a324', 'a467', 'a83', 'a307', 'a169', 'a287']
['a92', 'a386', 'a215', 'a45', 'a189', 'a117', 'a286', 'a449', 'a364', 'a188', 'a156', 'a2']
['a246', 'a162', 'a428', 'a155', 'a401', 'a418', 'a198', 'a37', 'a424', 'a297', 'a134', 'a54']
['a212', 'a77', 'a114', 'a89', 'a213', 'a56', 'a400', 'a166', 'a366', 'a23', 'a186', 'a216']
['a5', 'a176', 'a150', 'a230', 'a430', 'a339', 'a372', 'a479', 'a319', 'a41', 'a407', 'a160']
['a102', 'a113', 'a335', 'a7', 'a127', 'a63', 'a363', 'a73', 'a459', 'a446', 'a190', 'a240']
['a231', 'a75', 'a239', 'a161', 'a253', 'a91', 'a11', 'a214', 'a196', 'a145', 'a99', 'a168']
