['a66', 'a290', 'a376', 'a156', 'a268', 'a198', 'a39', 'a124', 'a60', 'a138', 'a79', 'a193', 'a141', 'a164', 'a215', 'a296', 'a95', 'a189', 'a333', 'a329']
['a51', 'a74', 'a59', 'a1', 'a330', 'a34', 'a41', 'a94', 'a62', 'a24', 'a178', 'a283', 'a196', 'a217', 'a339', 'a99', 'a179', 'a314', 'a269', 'a355']
['a240', 'a220', 'a385', 'a71', 'a206', 'a72', 'a171', 'a96', 'a258', 'a148', 'a309', 'a145', 'a307', 'a88', 'a364', 'a345', 'a259', 'a311', 'a153', 'a10']
['a165', 'a266', 'a267', 'a17', 'a358', 'a186', 'a349', 'a19', 'a353', 'a366', 'a263', 'a327', 'a29', 'a282', 'a208', 'a181', 'a334', 'a157', 'a2', 'a310']
['a241', 'a192', 'a394', 'a242', 'a91', 'a113', 'a28', 'a144', 'a351', 'a69', 'a33', 'a167', 'a160', 'a58', 'a228', 'a226', 'a188', 'a63', 'a372', 'a106']
['a44', 'a343', 'a204', 'a222', 'a104', 'a291', 'a172', 'a139', 'a163', 'a332', 'a48', 'a116', 'a65', 'a154', 'a341', 'a22', 'a211', 'a391', 'a203', 'a27']
['a316', 'a36', 'a125', 'a114', 'a261', 'a136', 'a76', 'a336', 'a294', 'a302', 'a232', 'a234', 'a140', 'a180', 'a111', 'a271', 'a289', 'a170', 'a388', 'a354']
['a218', 'a166', 'a130', 'a202', 'a207', 'a120', 'a371', 'a168', 'a231', 'a270', 'a397', 'a308', 'a300', 'a386', 'a70', 'a374', 'a205', 'a287', 'a363', 'a338']
['a378', 'a347', 'a57', 'a4', 'a264', 'a381', 'a367', 'a348', 'a286', 'a182', 'a11', 'a235', 'a312', 'a92', 'a16', 'a162', 'a81', 'a13', 'a133', 'a274']
['a214', 'a221', 'a37', 'a377', 'a175', 'a390', 'a177', 'a384', 'a5', 'a173', 'a174', 'a356', 'a84', 'a150', 'a53', 'a245', 'a194', 'a30', 'a83', 'a77']
['a87', 'a109', 'a360', 'a395', 'a31', 'a40', 'a134', 'a55', 'a42', 'a322', 'a313', 'a195', 'a158', 'a250', 'a319', 'a201', 'a253', 'a90', 'a265', 'a199']
['a185', 'a398', 'a326', 'a216', 'a342', 'a137', 'a161', 'a209', 'a12', 'a147', 'a252', 'a49', 'a248', 'a119', 'a14', 'a213', 'a6', 'a183', 'a85', 'a272']
['a117', 'a237', 'a112', 'a375', 'a159', 'a143', 'a190', 'a392', 'a379', 'a108', 'a352', 'a78', 'a131', 'a224', 'a155', 'a23', 'a383', 'a223', 'a368', 'a295']
['a89', 'a98', 'a251', 'a105', 'a3', 'a281', 'a118', 'a197', 'a396', 'a278', 'a26', 'a101', 'a301', 'a317', 'a257', 'a142', 'a122', 'a200', 'a373', 'a128']
['a121', 'a284', 'a280', 'a64', 'a238', 'a132', 'a279', 'a276', 'a225', 'a260', 'a50', 'a243', 'a103', 'a212', 'a135', 'a80', 'a151', 'a344', 'a227', 'a292']
['a346', 'a337', 'a323', 'a149', 'a370', 'a115', 'a61', 'a146', 'a369', 'a318', 'a331', 'a399', 'a247', 'a359', 'a262', 'a82', 'a277', 'a75', 'a233', 'a7']
['a0', 'a315', 'a123', 'a126', 'a362', 'a129', 'a110', 'a239', 'a236', 'a298', 'a328', 'a102', 'a45', 'a18', 'a389', 'a219', 'a176', 'a387', 'a230', 'a285']
['a97', 'a357', 'a187', 'a210', 'a21', 'a20', 'a321', 'a38', 'a15', 'a169', 'a56', 'a382', 'a191', 'a254', 'a93', 'a32', 'a68', 'a47', 'a324', 'a340']
['a350', 'a273', 'a256', 'a43', 'a335', 'a8', 'a184', 'a246', 'a86', 'a52', 'a361', 'a320', 'a9', 'a297', 'a306', 'a299', 'a380', 'a249', 'a35', 'a393']
['a107', 'a275', 'a325', 'a73', 'a304', 'a229', 'a54', 'a67', 'a152', 'a255', 'a25', 'a305', 'a244', 'a303', 'a100', 'a293', 'a46', 'a127', 'a288', 'a365']
