['D23', 'B23', 'A23']
['B8', 'A8', 'F8']
['15', 'H26', 'H25']
['D41', 'A41', 'B41']
['D12', 'A12', 'B12']
['D40', 'B40', 'A40']
['D1', 'B1', 'A1']
['H33', 'H34', '11']
['G5', '58', 'E5']
['G16', 'F16', 'E16']
['A38', 'D38', 'B38']
['C50', 'B50', 'A50']
['C30', 'D30', 'F31']
['D54', 'G54', 'E54']
['E35', 'H35', 'G35']
['G45', 'E45', 'F45']
['B5', 'F5', 'A5']
['C32', 'G37', 'C33']
['A39', 'C39', 'D39']
['D9', 'B9', 'A9']
['38', '43', '44']
['C47', 'A47', 'D47']
['G12', 'F12', 'E12']
['A54', 'C54', 'B54']
['F25', 'E25', 'G25']
['B53', 'C5', 'D5']
['H50', 'H49', 'C11']
['G11', 'E11', 'D11']
['B43', 'D43', 'A43']
['E22', 'F22', 'G22']
['G9', 'H9', 'E9']
['E39', 'F39', '4']
['A17', 'B17', 'D17']
['H2', 'E2', 'G2']
['E51', 'G51', 'F51']
['F36', 'G36', 'E36']
['E27', 'H27', 'H28']
['E15', 'H15', 'G15']
['31', '9', 'C44']
['G42', 'H21', 'H22']
['E26', 'G26', 'F26']
['C25', 'C24', '35']
['F11', 'B11', 'A11']
['C3', 'G32', 'C2']
['34', 'B21', '59']
['E37', 'H37', 'F37']
['E50', 'F50', 'G50']
['C45', 'A45', 'D45']
['F32', 'H32', 'E32']
['D6', 'B6', 'A6']
['B0', 'D0', 'A0']
['B42', 'D42', 'A42']
['55', 'B7', '47']
['D28', 'G28', 'E28']
['B14', '42', '46']
['E3', 'F3', 'G3']
['E4', 'G4', '25']
['B30', 'A30', '36']
['A19', 'C19', 'D19']
['C6', '19', '24']
['H6', '27', 'H5']
['E7', 'F7', 'G7']
['F42', '28', 'G39']
['E23', 'F23', 'H23']
['H54', 'F53', 'G14']
['B36', 'F27', '50']
['B3', 'A3', 'D3']
['A21', 'D21', 'C21']
['G19', 'F43']
['E8', 'G8', 'H8']
['39', 'H44', '29']
['G48', 'H48', 'E48']
['H41', 'G41', 'E41']
['C12', 'F35', 'C13']
['12', '0', 'C31']
['B46', 'A46', 'D46']
['A52', 'C52', 'D52']
['E34', 'G34', 'F34']
['G46', 'F46', 'E46']
['F2', 'F15', 'A26']
['22', 'F17', '37']
['A14', 'D14', 'C14']
['G13', 'E13', 'F13']
['H20', 'B19', 'H19']
['F18', '13', 'B47']
['21', 'F9', '1']
['A32', 'D32', 'B32']
['F40', 'F0', 'B18']
['C28', 'G52', 'C29']
['C36', 'D36', 'A36']
['E44', 'G44', '16']
['D34', 'C34', 'A34']
['G33', 'E33', 'F33']
['A20', 'B20', 'D20']
['E1', 'F1', 'G1']
['F48', 'H11', 'H12']
['H38', 'E38', 'G38']
['A15', 'D15', 'B15']
['B31', 'D31', 'A31']
['G31', 'H31', 'E31']
['F30', 'E30', 'G30']
['A22', 'B22', 'D22']
['G49', 'F49', 'E49']
['F21', 'G21', 'E21']
['C38', '49', '53']
['32', 'H30', 'H29']
['B34', 'C16', 'C17']
['F38', 'E52', 'F52']
['H16', 'H13', 'H14']
['G20', 'E20', 'F20']
['E14', '10', 'F14']
['D2', 'A2', 'B2']
['56', 'H46', 'H45']
['D27', 'A27', 'B27']
['H40', 'H39', '26']
['H42', 'E42', 'B45']
['30', 'G47', '57']
['C1', 'C22', 'C0']
['H53', 'G53', 'E53']
['C46', '18', '2']
['C18', 'A18', 'D18']
['G23', 'B52', 'B51']
['C15', 'D24', 'B24']
['45', '6', '52']
['D44', 'B44', 'A44']
['H52', 'F44', 'D50']
['B16', 'A16', 'D16']
['A33', 'B33', 'D33']
['G6', 'E6', 'F6']
['54', '7', '23']
['D51', 'C51', 'A51']
['D37', 'C37', 'A37']
['G24', 'H24', 'E24']
['C53', 'A53', 'D53']
['F29', 'E29', 'G29']
['C27', 'F19', 'E19']
['A4', 'F4', 'B4']
['E18', 'H18', 'G18']
['40', 'H36', '33']
['B25', 'D25', 'A25']
['B35', 'G10', 'E10']
['E43', 'G43', 'H43']
['D7', 'A7', 'C7']
['A29', 'D29', 'B29']
['E40', 'G40', 'F54']
['D4', 'H7', 'C4']
['H1', '14', '17']
['C41', 'C40', 'H10']
['5', '8', 'C49']
['C8', '48', 'C9']
['C10', 'B10', 'D10']
['D49', 'A49', 'B49']
['B13', 'D13', 'A13']
['C20', 'B39', 'D8']
['D26', 'C26', 'B26']
['B37', 'A24', 'F24']
['H17', 'E17', 'G17']
['F10', 'C23', 'A10']
['51', '41', 'B48']
['C42', 'C43', 'H51']
['3', 'B28', 'F41']
['A48', 'D48', 'C48']
['G0', 'H0', 'E0']
['C35', 'A35', 'D35']
['A28', 'F28', 'G27']
['E47', 'H47', 'F47']
['H3', 'H4', '20']
