['LanceStephenson', 'MylesTurner']
['BlakeGriffin', 'LouWilliams']
['JaeCrowder', 'DwyaneWade']
['MilosTeodosic', 'WesleyJohnson']
['JustinJackson', 'GeorgeHill']
['PatrickMcCaw', 'KlayThompson']
['KyrieIrving', 'MarcusMorris']
['DennisSmith', 'WesleyMatthews']
['DarioSaric', 'RobertCovington']
['DamianLillard', 'ZachCollins']
['KyleKorver', 'JoseCalderon']
['DionWaiters', 'JamesJohnson']
['JarrettAllen', 'CarisLeVert']
['DeMarDeRozan', 'JakobPoeltl']
['JamesEnnis', 'AndrewHarrison']
['JrueHoliday', 'NikolaMirotic']
['TylerUlis', 'JoshJackson']
['TreveonGraham', 'MichaelKiddGilchrist']
['JaMychalGreen', 'JarellMartin']
['TroyDaniels', 'DraganBender']
['DeMarcusCousins', 'ETwaunMoore']
['ZachRandolph', 'DeAaronFox']
['MalikMonk', 'NicolasBatum']
['KevinDurant', 'DraymondGreen']
['IanClark', 'RajonRondo']
['DougMcDermott', 'KyleOQuinn']
['StephenCurry', 'AndreIguodala']
['EricBledsoe', 'TonySnell']
['AlexAbrines', 'RaymondFelton']
['DarrenCollison', 'JoeYoung']
['EnesKanter', 'FrankNtilikina']
['EvanTurner', 'JusufNurkic']
['BrandonIngram', 'LarryNance']
['OttoPorter', 'MarcinGortat']
['KellyOubre', 'TomasSatoransky']
['PaulGeorge', 'CarmeloAnthony']
['JJRedick', 'TimotheLuwawuCabarrot']
['DelonWright', 'CJMiles']
['ReggieJackson', 'StanleyJohnson']
['PattyMills', 'ManuGinobili']
['TorreyCraig', 'GaryHarris']
['JustiseWinslow', 'KellyOlynyk']
['SamDekker', 'TobiasHarris']
['JameerNelson', 'DariusMiller']
['JamesHarden', 'LucMbahaMoute']
['AlJefferson', 'DomantasSabonis']
['GarrettTemple', 'BuddyHield']
['JimmyButler', 'NemanjaBjelica']
['MalcolmBrogdon', 'GiannisAntetokounmpo']
['MarioChalmers', 'TyrekeEvans']
['AlFarouqAminu', 'MauriceHarkless']
['WayneEllington', 'HassanWhiteside']
['BenSimmons', 'TJMcConnell']
['AronBaynes', 'SemiOjeleye']
['DwightPowell', 'JJBarea']
['AustinRivers', 'DeAndreJordan']
['StevenAdams', 'JeramiGrant']
['WillieCauleyStein', 'BogdanBogdanovic']
['DannyGreen', 'PauGasol']
['AaronGordon', 'DJAugustin']
