['199', '21', '441', '149', '40', '228', '5', '181', '299', '123', '6', '453', '19', '159', '192', '75']
['418', '148', '154', '457', '42', '344', '472', '64', '315', '67', '58', '155', '210', '443', '446', '439']
['96', '482', '257', '289', '450', '341', '118', '338', '432', '429', '333', '483', '77', '10', '234', '262']
['271', '232', '216', '134', '249', '465', '150', '391', '470', '205', '104', '36', '72', '486', '380', '366']
['214', '447', '458', '251', '408', '130', '88', '227', '492', '354', '133', '211', '373', '217', '87', '368']
['14', '92', '360', '139', '389', '313', '125', '478', '103', '428', '260', '468', '236', '203', '436', '347']
['384', '394', '322', '73', '335', '238', '35', '291', '128', '266', '177', '114', '311', '490', '147', '106']
['25', '169', '454', '138', '340', '331', '153', '302', '239', '152', '395', '59', '1', '197', '129', '401']
['332', '473', '327', '342', '244', '173', '399', '283', '41', '161', '158', '182', '295', '255', '176', '425']
['245', '412', '330', '63', '140', '390', '385', '305', '43', '187', '165', '312', '494', '74', '55', '392']
['157', '76', '167', '90', '281', '477', '18', '135', '321', '116', '11', '307', '95', '404', '60', '86']
['8', '479', '49', '328', '34', '220', '178', '336', '355', '143', '415', '237', '424', '223', '146', '308']
['126', '108', '352', '430', '287', '367', '471', '316', '226', '383', '253', '50', '2', '218', '345', '388']
['136', '337', '94', '194', '435', '406', '493', '282', '91', '110', '481', '434', '196', '122', '353', '221']
['204', '115', '474', '484', '487', '120', '293', '191', '13', '252', '323', '346', '99', '343', '423', '410']
['16', '212', '9', '275', '369', '363', '359', '475', '426', '433', '464', '30', '427', '137', '463', '101']
['61', '225', '326', '172', '358', '70', '175', '156', '37', '431', '319', '15', '56', '403', '170', '489']
['300', '174', '65', '190', '24', '277', '309', '350', '202', '180', '51', '250', '393', '83', '201', '456']
['206', '285', '264', '265', '276', '387', '66', '219', '132', '303', '296', '269', '188', '361', '100', '451']
['397', '356', '222', '288', '334', '349', '455', '29', '438', '207', '241', '179', '208', '124', '54', '142']
['127', '284', '267', '198', '254', '437', '45', '166', '17', '224', '69', '400', '46', '98', '160', '469']
['22', '89', '304', '78', '324', '444', '279', '163', '476', '379', '273', '485', '405', '314', '113', '7']
['442', '370', '107', '268', '396', '23', '461', '151', '246', '280', '117', '47', '141', '381', '362', '310']
['274', '38', '452', '171', '193', '53', '263', '186', '270', '496', '297', '97', '62', '378', '185', '112']
['164', '184', '421', '57', '256', '292', '20', '102', '348', '272', '402', '82', '200', '31', '195', '229']
['79', '374', '27', '351', '183', '364', '233', '39', '105', '243', '413', '409', '365', '440', '449', '377']
['33', '213', '329', '85', '68', '445', '448', '466', '317', '382', '411', '286', '209', '459', '414', '422']
['278', '44', '462', '12', '145', '261', '491', '109', '339', '357', '258', '301', '417', '71', '168', '240']
['398', '467', '93', '3', '215', '32', '144', '111', '372', '419', '320', '48', '4', '376', '119', '52']
['230', '26', '386', '375', '231', '488', '84', '81', '420', '189', '306', '131', '247', '259', '318', '290']
['416', '235', '162', '371', '407', '298', '121', '325', '480', '80', '294', '460', '28', '248', '495', '242']
