['118', '44', '57', '146']
['103', '78', '236', '107']
['115', '169', '106', '139']
['67', '207', '158', '9']
['232', '19', '248', '197']
['53', '73', '185', '114']
['113', '105', '130', '123']
['204', '131', '83', '71']
['126', '217', '235', '16']
['152', '225', '18', '46']
['40', '111', '241', '210']
['171', '33', '100', '224']
['68', '196', '155', '213']
['119', '150', '247', '41']
['63', '60', '157', '64']
['122', '17', '102', '202']
['99', '27', '29', '52']
['214', '164', '76', '133']
['14', '149', '82', '4']
['74', '187', '170', '90']
['186', '219', '49', '135']
['2', '188', '38', '216']
['30', '231', '121', '110']
['69', '43']
['72', '92', '240', '154']
['199', '211', '54', '21']
['39', '183', '59', '36']
['56', '218', '10', '167']
['249', '97', '62', '140']
['178', '112', '148', '75']
['234', '25', '191', '13']
['42', '172', '230', '22']
['228', '3', '94', '181']
['101', '86', '173', '175']
['138', '180', '195', '203']
['117', '12', '244', '177']
['159', '162', '166', '28']
['6', '65', '84', '208']
['88', '143', '104', '229']
['0', '156', '70', '215']
['165', '1', '45', '221']
['127', '141', '87', '85']
['239', '136', '176', '209']
['120', '198', '15', '243']
['161', '77', '129', '144']
['192', '205', '160', '20']
['47', '24', '238', '23']
['193', '222', '163', '132']
['220', '174', '89', '184']
['81', '212', '189', '223']
['11', '61', '151', '109']
['245', '93', '233', '182']
['125', '137', '108', '34']
['7', '55', '58', '246']
['79', '124', '96', '31']
['145', '91', '5', '116']
['32', '190', '226', '128']
['194', '37', '153', '201']
['35', '50', '142', '242']
['227', '98', '80', '51']
['48', '95', '147', '168']
['206', '134', '8', '26']
['66', '237', '200', '179']
