['201', '278', '241', '337', '30', '102', '78', '114', '233', '177', '111', '43', '49', '285', '374', '41', '148', '91', '225', '341', '68']
['215', '324', '56', '175', '160', '314', '237', '38', '226', '19', '245', '296', '159', '280', '42', '342', '395', '272', '371', '167', '362']
['288', '92', '7', '248', '259', '345', '181', '223', '387', '70', '281', '388', '286', '151', '192', '396', '122', '325', '73', '196', '83']
['131', '279', '150', '103', '361', '39', '249', '214', '60', '152', '26', '397', '243', '187', '69', '82', '292', '297', '261', '229', '9']
['135', '178', '14', '210', '164', '238', '399', '262', '176', '166', '141', '171', '10', '364', '200', '137', '219', '289', '235', '309', '22']
['89', '398', '20', '98', '369', '355', '207', '25', '105', '228', '340', '146', '257', '343', '311', '144', '265', '46', '84', '322']
['283', '134', '139', '119', '303', '350', '318', '55', '61', '117', '326', '169', '112', '331', '212', '293', '254', '101', '161', '53', '54']
['267', '319', '189', '299', '118', '354', '142', '48', '329', '339', '125', '87', '3', '180', '77', '199', '227', '304', '376', '231', '391']
['121', '224', '277', '217', '368', '115', '253', '347', '35', '136', '32', '194', '363', '2', '294', '301', '344', '126', '12', '124', '282']
['186', '27', '28', '172', '165', '256', '389', '308', '45', '218', '202', '305', '334', '173', '353', '107', '198', '50', '108', '384', '315']
['378', '352', '203', '94', '348', '76', '333', '332', '385', '328', '133', '295', '313', '51', '34', '356', '18', '300', '47', '138', '268']
['143', '129', '216', '377', '271', '4', '276', '57', '211', '24', '16', '370', '327', '95', '90', '321', '132', '252', '17', '33', '244']
['302', '96']
['312', '162', '128', '382', '31', '380', '284', '349', '64', '59', '220', '116', '263', '221', '195', '239', '258', '184', '113', '236', '66']
['205', '179', '81', '290', '130', '11', '140', '306', '298', '330', '5', '149', '273', '317', '109', '251', '23', '360', '287', '170', '6']
['209', '242', '246', '13', '358', '394', '110', '86', '264', '274', '154', '222', '291', '88', '338', '206', '190', '106', '155', '366', '8']
['247', '255', '392', '145', '67', '29', '351', '357', '156', '85', '383', '147', '80', '163', '250', '379', '97', '275', '71', '75', '323']
['365', '197', '381', '104', '174', '269', '373', '168', '240', '182', '65', '157', '153', '158', '188', '79', '372', '260', '266', '346', '310']
['58', '93', '400', '15', '21', '52', '375', '204', '393', '74', '72', '99', '367', '36', '208', '307', '335', '123', '359', '336', '120']
['316', '270', '63', '127', '185', '62', '234', '100', '191', '40', '1', '230', '232', '37', '390', '193', '183', '44', '386', '213', '320']
