['82', '108', '424', '34', '325', '42', '198', '327', '284', '212', '113', '218', '207', '75', '497', '486', '338', '253', '349', '43', '120', '414', '91', '280', '3']
['492', '388', '14', '481', '118', '21', '219', '12', '201', '184', '401', '354', '172', '495', '153', '412', '29', '347', '192', '365', '2', '271', '94', '151', '277']
['361', '152', '136', '36', '227', '298', '262', '38', '33', '45', '50', '211', '16', '482', '306', '452', '346', '248', '102', '230', '127', '275', '181', '468', '216']
['394', '438', '471', '413', '410', '278', '437', '276', '295', '472', '313', '163', '149', '110', '375', '28', '122', '359', '131', '160', '494', '434', '344', '426', '336']
['70', '242', '138', '264', '60', '236', '484', '203', '297', '257', '239', '180', '436', '221', '140', '265', '37', '461', '373', '79', '167', '259', '10', '170', '491']
['135', '128', '232', '63', '395', '4', '142', '296', '331', '231', '315', '269', '93', '183', '66', '467', '415', '287', '204', '341', '399', '282', '76', '379', '209']
['162', '229', '68', '255', '194', '435', '320', '249', '22', '88', '72', '134', '17', '174', '404', '99', '489', '281', '250', '190', '187', '384', '380', '251', '330']
['48', '374', '279', '103', '430', '368', '143', '272', '0', '457', '440', '443', '397', '196', '156', '55', '210', '289', '6', '318', '46', '465', '238', '376', '353']
['451', '23', '270', '67', '370', '158', '260', '329', '235', '357', '286', '39', '317', '479', '95', '419', '96', '83', '228', '44', '303', '59', '339', '222', '191']
['188', '133', '403', '245', '234', '343', '237', '485', '433', '302', '90', '392', '130', '311', '409', '202', '382', '378', '291', '117', '446', '224', '77', '389']
['119', '402', '69', '294', '323', '369', '304', '62', '147', '439', '157', '416', '56', '173', '126', '405', '179', '480', '469', '148', '54', '386', '307', '52', '423']
['85', '40', '475', '31', '225', '462', '115', '206', '200', '391', '300', '205', '65', '293', '358', '458', '57', '240', '233', '476', '377', '123', '104', '428', '86']
['5', '132', '155', '137', '20', '352', '213', '129', '422', '195', '105', '390', '333', '366', '217', '215', '35', '429', '418', '27', '450', '381', '223', '321', '109']
['13', '41', '8', '32', '171', '442', '316', '61', '73', '483', '371', '193', '393', '356', '199', '407', '340', '496', '427', '168', '290', '98', '445', '273', '47']
['372', '266', '335', '243', '322', '474', '261', '263', '385', '176', '448', '460', '456', '182', '363', '161', '417', '226', '71', '185', '332', '78', '53', '268', '488']
['154', '58', '441', '411', '455', '355', '19', '285', '299', '112', '220', '244', '421', '7', '406', '337', '208', '49', '150', '241', '309', '466', '408', '101', '444']
['398', '326', '464', '254', '478', '26', '449', '178', '25', '87', '100', '124', '30', '166', '283', '383', '274', '111', '490', '400', '487', '319', '345', '11', '141']
['97', '256', '197', '169', '51', '189', '125', '288', '165', '107', '267', '350', '396', '470', '498', '314', '177', '477', '453', '334', '324', '144', '362', '18', '454']
['305', '342', '447', '106', '425', '420', '80', '84', '493', '431', '92', '74', '312', '301', '348', '15', '308', '116', '387', '64', '114', '432', '367', '328', '292']
['186', '214', '89', '175', '247', '364', '121', '459', '360', '351', '24', '252', '145', '258', '164', '9', '1', '159', '463', '473', '146', '246', '310', '139', '81']
